run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
MA43177_2026-08-10_6072,1,0,Set1,1,0.393700787401575,in
MA43177_2026-08-10_6072,1,0,Set1,2,0.393700787401575,in
MA43177_2026-08-10_6072,1,0,Set2,1,,in
MA43177_2026-08-10_6072,1,0,Set2,2,,in
MA43177_2026-08-10_6072,2,20,Set1,1,0.354330708661417,in
MA43177_2026-08-10_6072,2,20,Set1,2,0.354330708661417,in
MA43177_2026-08-10_6072,2,20,Set2,1,,in
MA43177_2026-08-10_6072,2,20,Set2,2,,in
MA43177_2026-08-10_6072,3,40,Set1,1,0.350393700787402,in
MA43177_2026-08-10_6072,3,40,Set1,2,0.350393700787402,in
MA43177_2026-08-10_6072,3,40,Set2,1,,in
MA43177_2026-08-10_6072,3,40,Set2,2,,in
MA43177_2026-08-10_6072,4,60,Set1,1,0.349606299212598,in
MA43177_2026-08-10_6072,4,60,Set1,2,0.349606299212598,in
MA43177_2026-08-10_6072,4,60,Set2,1,,in
MA43177_2026-08-10_6072,4,60,Set2,2,,in
MA43177_2026-08-10_6072,5,80,Set1,1,0.15748031496063,in
MA43177_2026-08-10_6072,5,80,Set1,2,0.15748031496063,in
MA43177_2026-08-10_6072,5,80,Set2,1,,in
MA43177_2026-08-10_6072,5,80,Set2,2,,in
MA43177_2026-08-10_6072,6,100,Set1,1,0.153543307086614,in
MA43177_2026-08-10_6072,6,100,Set1,2,0.153543307086614,in
MA43177_2026-08-10_6072,6,100,Set2,1,,in
MA43177_2026-08-10_6072,6,100,Set2,2,,in
MA43177_2026-08-10_6072,7,120,Set1,1,0.118110236220472,in
MA43177_2026-08-10_6072,7,120,Set1,2,0.118110236220472,in
MA43177_2026-08-10_6072,7,120,Set2,1,,in
MA43177_2026-08-10_6072,7,120,Set2,2,,in
MA43177_2026-08-10_6072,8,140,Set1,1,0.0984251968503937,in
MA43177_2026-08-10_6072,8,140,Set1,2,0.0984251968503937,in
MA43177_2026-08-10_6072,8,140,Set2,1,,in
MA43177_2026-08-10_6072,8,140,Set2,2,,in
