run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
MA43177_2026-08-10_5b86,1,0,Set1,1,10,mm
MA43177_2026-08-10_5b86,1,0,Set1,2,10,mm
MA43177_2026-08-10_5b86,1,0,Set2,1,,mm
MA43177_2026-08-10_5b86,1,0,Set2,2,,mm
MA43177_2026-08-10_5b86,2,20,Set1,1,9,mm
MA43177_2026-08-10_5b86,2,20,Set1,2,9,mm
MA43177_2026-08-10_5b86,2,20,Set2,1,,mm
MA43177_2026-08-10_5b86,2,20,Set2,2,,mm
MA43177_2026-08-10_5b86,3,40,Set1,1,8.9,mm
MA43177_2026-08-10_5b86,3,40,Set1,2,8.9,mm
MA43177_2026-08-10_5b86,3,40,Set2,1,,mm
MA43177_2026-08-10_5b86,3,40,Set2,2,,mm
MA43177_2026-08-10_5b86,4,60,Set1,1,8.8,mm
MA43177_2026-08-10_5b86,4,60,Set1,2,8.8,mm
MA43177_2026-08-10_5b86,4,60,Set2,1,,mm
MA43177_2026-08-10_5b86,4,60,Set2,2,,mm
MA43177_2026-08-10_5b86,5,80,Set1,1,6,mm
MA43177_2026-08-10_5b86,5,80,Set1,2,6,mm
MA43177_2026-08-10_5b86,5,80,Set2,1,,mm
MA43177_2026-08-10_5b86,5,80,Set2,2,,mm
MA43177_2026-08-10_5b86,6,100,Set1,1,5.8,mm
MA43177_2026-08-10_5b86,6,100,Set1,2,5.8,mm
MA43177_2026-08-10_5b86,6,100,Set2,1,,mm
MA43177_2026-08-10_5b86,6,100,Set2,2,,mm
MA43177_2026-08-10_5b86,7,120,Set1,1,5.79,mm
MA43177_2026-08-10_5b86,7,120,Set1,2,5.79,mm
MA43177_2026-08-10_5b86,7,120,Set2,1,,mm
MA43177_2026-08-10_5b86,7,120,Set2,2,,mm
MA43177_2026-08-10_5b86,8,140,Set1,1,5.79,mm
MA43177_2026-08-10_5b86,8,140,Set1,2,5.78,mm
MA43177_2026-08-10_5b86,8,140,Set2,1,,mm
MA43177_2026-08-10_5b86,8,140,Set2,2,,mm
