run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
22514_2025-12-02_5273,1,0,Set1,1,1.656,in
22514_2025-12-02_5273,1,0,Set1,2,1.655,in
22514_2025-12-02_5273,1,0,Set2,1,1.655,in
22514_2025-12-02_5273,1,0,Set2,2,1.655,in
22514_2025-12-02_5273,2,20,Set1,1,1.649,in
22514_2025-12-02_5273,2,20,Set1,2,1.649,in
22514_2025-12-02_5273,2,20,Set2,1,1.648,in
22514_2025-12-02_5273,2,20,Set2,2,1.648,in
22514_2025-12-02_5273,3,40,Set1,1,1.644,in
22514_2025-12-02_5273,3,40,Set1,2,1.642,in
22514_2025-12-02_5273,3,40,Set2,1,1.644,in
22514_2025-12-02_5273,3,40,Set2,2,1.644,in
22514_2025-12-02_5273,4,60,Set1,1,1.641,in
22514_2025-12-02_5273,4,60,Set1,2,1.639,in
22514_2025-12-02_5273,4,60,Set2,1,1.64,in
22514_2025-12-02_5273,4,60,Set2,2,1.64,in
22514_2025-12-02_5273,5,80,Set1,1,1.638,in
22514_2025-12-02_5273,5,80,Set1,2,1.636,in
22514_2025-12-02_5273,5,80,Set2,1,1.637,in
22514_2025-12-02_5273,5,80,Set2,2,1.637,in
22514_2025-12-02_5273,6,100,Set1,1,1.636,in
22514_2025-12-02_5273,6,100,Set1,2,1.634,in
22514_2025-12-02_5273,6,100,Set2,1,1.635,in
22514_2025-12-02_5273,6,100,Set2,2,1.636,in
22514_2025-12-02_5273,7,120,Set1,1,1.634,in
22514_2025-12-02_5273,7,120,Set1,2,1.633,in
22514_2025-12-02_5273,7,120,Set2,1,1.634,in
22514_2025-12-02_5273,7,120,Set2,2,1.633,in
22514_2025-12-02_5273,8,140,Set1,1,1.631,in
22514_2025-12-02_5273,8,140,Set1,2,1.631,in
22514_2025-12-02_5273,8,140,Set2,1,1.632,in
22514_2025-12-02_5273,8,140,Set2,2,1.632,in
