run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
24563_2025-12-11_2a14,1,0,Set1,1,1.627,in
24563_2025-12-11_2a14,1,0,Set1,2,1.625,in
24563_2025-12-11_2a14,1,0,Set2,1,1.627,in
24563_2025-12-11_2a14,1,0,Set2,2,1.625,in
24563_2025-12-11_2a14,2,20,Set1,1,1.619,in
24563_2025-12-11_2a14,2,20,Set1,2,1.618,in
24563_2025-12-11_2a14,2,20,Set2,1,1.618,in
24563_2025-12-11_2a14,2,20,Set2,2,1.619,in
24563_2025-12-11_2a14,3,40,Set1,1,1.612,in
24563_2025-12-11_2a14,3,40,Set1,2,1.614,in
24563_2025-12-11_2a14,3,40,Set2,1,1.611,in
24563_2025-12-11_2a14,3,40,Set2,2,1.614,in
24563_2025-12-11_2a14,4,60,Set1,1,1.608,in
24563_2025-12-11_2a14,4,60,Set1,2,1.611,in
24563_2025-12-11_2a14,4,60,Set2,1,1.608,in
24563_2025-12-11_2a14,4,60,Set2,2,1.61,in
24563_2025-12-11_2a14,5,80,Set1,1,1.603,in
24563_2025-12-11_2a14,5,80,Set1,2,1.606,in
24563_2025-12-11_2a14,5,80,Set2,1,1.604,in
24563_2025-12-11_2a14,5,80,Set2,2,1.606,in
24563_2025-12-11_2a14,6,100,Set1,1,1.599,in
24563_2025-12-11_2a14,6,100,Set1,2,1.601,in
24563_2025-12-11_2a14,6,100,Set2,1,1.599,in
24563_2025-12-11_2a14,6,100,Set2,2,1.603,in
24563_2025-12-11_2a14,7,120,Set1,1,1.596,in
24563_2025-12-11_2a14,7,120,Set1,2,1.599,in
24563_2025-12-11_2a14,7,120,Set2,1,1.597,in
24563_2025-12-11_2a14,7,120,Set2,2,1.599,in
24563_2025-12-11_2a14,8,140,Set1,1,1.594,in
24563_2025-12-11_2a14,8,140,Set1,2,1.597,in
24563_2025-12-11_2a14,8,140,Set2,1,1.595,in
24563_2025-12-11_2a14,8,140,Set2,2,1.595,in
