run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
25576_2026-01-02_898b,1,0,Set1,1,1.609,in
25576_2026-01-02_898b,1,0,Set1,2,1.605,in
25576_2026-01-02_898b,1,0,Set2,1,1.64,in
25576_2026-01-02_898b,1,0,Set2,2,1.641,in
25576_2026-01-02_898b,2,20,Set1,1,1.593,in
25576_2026-01-02_898b,2,20,Set1,2,1.593,in
25576_2026-01-02_898b,2,20,Set2,1,1.593,in
25576_2026-01-02_898b,2,20,Set2,2,1.591,in
25576_2026-01-02_898b,3,40,Set1,1,1.589,in
25576_2026-01-02_898b,3,40,Set1,2,1.587,in
25576_2026-01-02_898b,3,40,Set2,1,1.587,in
25576_2026-01-02_898b,3,40,Set2,2,1.586,in
25576_2026-01-02_898b,4,60,Set1,1,1.583,in
25576_2026-01-02_898b,4,60,Set1,2,1.584,in
25576_2026-01-02_898b,4,60,Set2,1,1.585,in
25576_2026-01-02_898b,4,60,Set2,2,1.585,in
25576_2026-01-02_898b,5,80,Set1,1,1.581,in
25576_2026-01-02_898b,5,80,Set1,2,1.581,in
25576_2026-01-02_898b,5,80,Set2,1,1.582,in
25576_2026-01-02_898b,5,80,Set2,2,1.582,in
25576_2026-01-02_898b,6,100,Set1,1,1.579,in
25576_2026-01-02_898b,6,100,Set1,2,1.579,in
25576_2026-01-02_898b,6,100,Set2,1,1.579,in
25576_2026-01-02_898b,6,100,Set2,2,1.579,in
25576_2026-01-02_898b,7,120,Set1,1,1.577,in
25576_2026-01-02_898b,7,120,Set1,2,1.577,in
25576_2026-01-02_898b,7,120,Set2,1,1.576,in
25576_2026-01-02_898b,7,120,Set2,2,1.575,in
25576_2026-01-02_898b,8,140,Set1,1,1.576,in
25576_2026-01-02_898b,8,140,Set1,2,1.576,in
25576_2026-01-02_898b,8,140,Set2,1,1.574,in
25576_2026-01-02_898b,8,140,Set2,2,1.573,in
