run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
25583_2025-12-17_a863,1,0,Set1,1,1.67,in
25583_2025-12-17_a863,1,0,Set1,2,1.666,in
25583_2025-12-17_a863,1,0,Set2,1,1.661,in
25583_2025-12-17_a863,1,0,Set2,2,1.661,in
25583_2025-12-17_a863,2,20,Set1,1,1.658,in
25583_2025-12-17_a863,2,20,Set1,2,1.66,in
25583_2025-12-17_a863,2,20,Set2,1,1.653,in
25583_2025-12-17_a863,2,20,Set2,2,1.657,in
25583_2025-12-17_a863,3,40,Set1,1,1.654,in
25583_2025-12-17_a863,3,40,Set1,2,1.655,in
25583_2025-12-17_a863,3,40,Set2,1,1.651,in
25583_2025-12-17_a863,3,40,Set2,2,1.652,in
25583_2025-12-17_a863,4,60,Set1,1,1.65,in
25583_2025-12-17_a863,4,60,Set1,2,1.652,in
25583_2025-12-17_a863,4,60,Set2,1,1.649,in
25583_2025-12-17_a863,4,60,Set2,2,1.649,in
25583_2025-12-17_a863,5,80,Set1,1,1.648,in
25583_2025-12-17_a863,5,80,Set1,2,1.648,in
25583_2025-12-17_a863,5,80,Set2,1,1.646,in
25583_2025-12-17_a863,5,80,Set2,2,1.647,in
25583_2025-12-17_a863,6,100,Set1,1,1.643,in
25583_2025-12-17_a863,6,100,Set1,2,1.646,in
25583_2025-12-17_a863,6,100,Set2,1,1.645,in
25583_2025-12-17_a863,6,100,Set2,2,1.645,in
25583_2025-12-17_a863,7,120,Set1,1,1.641,in
25583_2025-12-17_a863,7,120,Set1,2,1.642,in
25583_2025-12-17_a863,7,120,Set2,1,1.643,in
25583_2025-12-17_a863,7,120,Set2,2,1.643,in
25583_2025-12-17_a863,8,140,Set1,1,1.639,in
25583_2025-12-17_a863,8,140,Set1,2,1.638,in
25583_2025-12-17_a863,8,140,Set2,1,1.64,in
25583_2025-12-17_a863,8,140,Set2,2,1.64,in
