run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
26091_2026-07-15_c073,1,0,Set1,1,1.667,in
26091_2026-07-15_c073,1,0,Set1,2,1.667,in
26091_2026-07-15_c073,1,0,Set2,1,1.665,in
26091_2026-07-15_c073,1,0,Set2,2,1.659,in
26091_2026-07-15_c073,2,20,Set1,1,1.651,in
26091_2026-07-15_c073,2,20,Set1,2,1.65,in
26091_2026-07-15_c073,2,20,Set2,1,1.655,in
26091_2026-07-15_c073,2,20,Set2,2,1.655,in
26091_2026-07-15_c073,3,40,Set1,1,1.647,in
26091_2026-07-15_c073,3,40,Set1,2,1.643,in
26091_2026-07-15_c073,3,40,Set2,1,1.648,in
26091_2026-07-15_c073,3,40,Set2,2,1.649,in
26091_2026-07-15_c073,4,60,Set1,1,1.645,in
26091_2026-07-15_c073,4,60,Set1,2,1.638,in
26091_2026-07-15_c073,4,60,Set2,1,1.646,in
26091_2026-07-15_c073,4,60,Set2,2,1.641,in
26091_2026-07-15_c073,5,80,Set1,1,1.638,in
26091_2026-07-15_c073,5,80,Set1,2,1.638,in
26091_2026-07-15_c073,5,80,Set2,1,1.643,in
26091_2026-07-15_c073,5,80,Set2,2,1.639,in
26091_2026-07-15_c073,6,100,Set1,1,1.638,in
26091_2026-07-15_c073,6,100,Set1,2,1.634,in
26091_2026-07-15_c073,6,100,Set2,1,1.639,in
26091_2026-07-15_c073,6,100,Set2,2,1.636,in
26091_2026-07-15_c073,7,120,Set1,1,1.635,in
26091_2026-07-15_c073,7,120,Set1,2,1.632,in
26091_2026-07-15_c073,7,120,Set2,1,1.638,in
26091_2026-07-15_c073,7,120,Set2,2,1.633,in
26091_2026-07-15_c073,8,140,Set1,1,1.633,in
26091_2026-07-15_c073,8,140,Set1,2,1.632,in
26091_2026-07-15_c073,8,140,Set2,1,1.633,in
26091_2026-07-15_c073,8,140,Set2,2,1.632,in
