run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
26106_2026-05-20_ffb0,1,0,Set1,1,1.665,in
26106_2026-05-20_ffb0,1,0,Set1,2,1.66,in
26106_2026-05-20_ffb0,1,0,Set2,1,1.661,in
26106_2026-05-20_ffb0,1,0,Set2,2,1.663,in
26106_2026-05-20_ffb0,2,20,Set1,1,1.651,in
26106_2026-05-20_ffb0,2,20,Set1,2,1.654,in
26106_2026-05-20_ffb0,2,20,Set2,1,1.652,in
26106_2026-05-20_ffb0,2,20,Set2,2,1.652,in
26106_2026-05-20_ffb0,3,40,Set1,1,1.65,in
26106_2026-05-20_ffb0,3,40,Set1,2,1.65,in
26106_2026-05-20_ffb0,3,40,Set2,1,1.648,in
26106_2026-05-20_ffb0,3,40,Set2,2,1.648,in
26106_2026-05-20_ffb0,4,60,Set1,1,1.645,in
26106_2026-05-20_ffb0,4,60,Set1,2,1.646,in
26106_2026-05-20_ffb0,4,60,Set2,1,1.642,in
26106_2026-05-20_ffb0,4,60,Set2,2,1.645,in
26106_2026-05-20_ffb0,5,80,Set1,1,1.642,in
26106_2026-05-20_ffb0,5,80,Set1,2,1.641,in
26106_2026-05-20_ffb0,5,80,Set2,1,1.639,in
26106_2026-05-20_ffb0,5,80,Set2,2,1.642,in
26106_2026-05-20_ffb0,6,100,Set1,1,1.638,in
26106_2026-05-20_ffb0,6,100,Set1,2,1.639,in
26106_2026-05-20_ffb0,6,100,Set2,1,1.635,in
26106_2026-05-20_ffb0,6,100,Set2,2,1.64,in
26106_2026-05-20_ffb0,7,120,Set1,1,1.635,in
26106_2026-05-20_ffb0,7,120,Set1,2,1.634,in
26106_2026-05-20_ffb0,7,120,Set2,1,1.633,in
26106_2026-05-20_ffb0,7,120,Set2,2,1.635,in
26106_2026-05-20_ffb0,8,140,Set1,1,1.633,in
26106_2026-05-20_ffb0,8,140,Set1,2,1.634,in
26106_2026-05-20_ffb0,8,140,Set2,1,1.63,in
26106_2026-05-20_ffb0,8,140,Set2,2,1.633,in
