run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L52584_2026-05-05_cacb,1,0,Set1,1,1.542,in
L52584_2026-05-05_cacb,1,0,Set1,2,1.543,in
L52584_2026-05-05_cacb,1,0,Set2,1,1.541,in
L52584_2026-05-05_cacb,1,0,Set2,2,1.546,in
L52584_2026-05-05_cacb,2,20,Set1,1,1.537,in
L52584_2026-05-05_cacb,2,20,Set1,2,1.538,in
L52584_2026-05-05_cacb,2,20,Set2,1,1.536,in
L52584_2026-05-05_cacb,2,20,Set2,2,1.537,in
L52584_2026-05-05_cacb,3,40,Set1,1,1.534,in
L52584_2026-05-05_cacb,3,40,Set1,2,1.535,in
L52584_2026-05-05_cacb,3,40,Set2,1,1.532,in
L52584_2026-05-05_cacb,3,40,Set2,2,1.533,in
L52584_2026-05-05_cacb,4,60,Set1,1,1.532,in
L52584_2026-05-05_cacb,4,60,Set1,2,1.533,in
L52584_2026-05-05_cacb,4,60,Set2,1,1.531,in
L52584_2026-05-05_cacb,4,60,Set2,2,1.532,in
L52584_2026-05-05_cacb,5,80,Set1,1,1.529,in
L52584_2026-05-05_cacb,5,80,Set1,2,1.53,in
L52584_2026-05-05_cacb,5,80,Set2,1,1.529,in
L52584_2026-05-05_cacb,5,80,Set2,2,1.53,in
L52584_2026-05-05_cacb,6,100,Set1,1,1.528,in
L52584_2026-05-05_cacb,6,100,Set1,2,1.529,in
L52584_2026-05-05_cacb,6,100,Set2,1,1.528,in
L52584_2026-05-05_cacb,6,100,Set2,2,1.529,in
L52584_2026-05-05_cacb,7,120,Set1,1,1.526,in
L52584_2026-05-05_cacb,7,120,Set1,2,1.527,in
L52584_2026-05-05_cacb,7,120,Set2,1,1.525,in
L52584_2026-05-05_cacb,7,120,Set2,2,1.526,in
L52584_2026-05-05_cacb,8,140,Set1,1,1.525,in
L52584_2026-05-05_cacb,8,140,Set1,2,1.526,in
L52584_2026-05-05_cacb,8,140,Set2,1,1.523,in
L52584_2026-05-05_cacb,8,140,Set2,2,1.524,in
