run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L52981_2025-01-03_e40b,1,0,Set1,1,2.002,in
L52981_2025-01-03_e40b,1,0,Set1,2,2.011,in
L52981_2025-01-03_e40b,1,0,Set2,1,1.976,in
L52981_2025-01-03_e40b,1,0,Set2,2,1.979,in
L52981_2025-01-03_e40b,2,30,Set1,1,1.965,in
L52981_2025-01-03_e40b,2,30,Set1,2,1.967,in
L52981_2025-01-03_e40b,2,30,Set2,1,1.964,in
L52981_2025-01-03_e40b,2,30,Set2,2,1.964,in
L52981_2025-01-03_e40b,3,60,Set1,1,1.956,in
L52981_2025-01-03_e40b,3,60,Set1,2,1.957,in
L52981_2025-01-03_e40b,3,60,Set2,1,1.953,in
L52981_2025-01-03_e40b,3,60,Set2,2,1.953,in
L52981_2025-01-03_e40b,4,90,Set1,1,1.948,in
L52981_2025-01-03_e40b,4,90,Set1,2,1.949,in
L52981_2025-01-03_e40b,4,90,Set2,1,1.947,in
L52981_2025-01-03_e40b,4,90,Set2,2,1.949,in
L52981_2025-01-03_e40b,5,120,Set1,1,1.944,in
L52981_2025-01-03_e40b,5,120,Set1,2,1.944,in
L52981_2025-01-03_e40b,5,120,Set2,1,1.943,in
L52981_2025-01-03_e40b,5,120,Set2,2,1.944,in
L52981_2025-01-03_e40b,6,150,Set1,1,1.94,in
L52981_2025-01-03_e40b,6,150,Set1,2,1.94,in
L52981_2025-01-03_e40b,6,150,Set2,1,1.939,in
L52981_2025-01-03_e40b,6,150,Set2,2,1.939,in
L52981_2025-01-03_e40b,7,180,Set1,1,1.935,in
L52981_2025-01-03_e40b,7,180,Set1,2,1.935,in
L52981_2025-01-03_e40b,7,180,Set2,1,1.934,in
L52981_2025-01-03_e40b,7,180,Set2,2,1.935,in
