run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53416-DEMO2_2026-01-09_08ec,1,0,Set1,1,1.55,in
L53416-DEMO2_2026-01-09_08ec,1,0,Set1,2,1.552,in
L53416-DEMO2_2026-01-09_08ec,1,0,Set2,1,1.548,in
L53416-DEMO2_2026-01-09_08ec,1,0,Set2,2,1.55,in
L53416-DEMO2_2026-01-09_08ec,2,20,Set1,1,1.54,in
L53416-DEMO2_2026-01-09_08ec,2,20,Set1,2,1.54,in
L53416-DEMO2_2026-01-09_08ec,2,20,Set2,1,1.541,in
L53416-DEMO2_2026-01-09_08ec,2,20,Set2,2,1.54,in
L53416-DEMO2_2026-01-09_08ec,3,40,Set1,1,1.537,in
L53416-DEMO2_2026-01-09_08ec,3,40,Set1,2,1.538,in
L53416-DEMO2_2026-01-09_08ec,3,40,Set2,1,1.537,in
L53416-DEMO2_2026-01-09_08ec,3,40,Set2,2,1.536,in
L53416-DEMO2_2026-01-09_08ec,4,60,Set1,1,1.533,in
L53416-DEMO2_2026-01-09_08ec,4,60,Set1,2,1.534,in
L53416-DEMO2_2026-01-09_08ec,4,60,Set2,1,1.534,in
L53416-DEMO2_2026-01-09_08ec,4,60,Set2,2,1.533,in
L53416-DEMO2_2026-01-09_08ec,5,80,Set1,1,1.53,in
L53416-DEMO2_2026-01-09_08ec,5,80,Set1,2,1.531,in
L53416-DEMO2_2026-01-09_08ec,5,80,Set2,1,1.53,in
L53416-DEMO2_2026-01-09_08ec,5,80,Set2,2,1.53,in
L53416-DEMO2_2026-01-09_08ec,6,100,Set1,1,1.529,in
L53416-DEMO2_2026-01-09_08ec,6,100,Set1,2,1.53,in
L53416-DEMO2_2026-01-09_08ec,6,100,Set2,1,1.529,in
L53416-DEMO2_2026-01-09_08ec,6,100,Set2,2,1.528,in
L53416-DEMO2_2026-01-09_08ec,7,120,Set1,1,1.527,in
L53416-DEMO2_2026-01-09_08ec,7,120,Set1,2,1.528,in
L53416-DEMO2_2026-01-09_08ec,7,120,Set2,1,1.527,in
L53416-DEMO2_2026-01-09_08ec,7,120,Set2,2,1.527,in
L53416-DEMO2_2026-01-09_08ec,8,140,Set1,1,1.525,in
L53416-DEMO2_2026-01-09_08ec,8,140,Set1,2,1.526,in
L53416-DEMO2_2026-01-09_08ec,8,140,Set2,1,1.526,in
L53416-DEMO2_2026-01-09_08ec,8,140,Set2,2,1.525,in
