run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53666_2026-07-30_bde8,1,0,Set1,1,1.498,in
L53666_2026-07-30_bde8,1,0,Set1,2,1.499,in
L53666_2026-07-30_bde8,1,0,Set2,1,1.491,in
L53666_2026-07-30_bde8,1,0,Set2,2,1.495,in
L53666_2026-07-30_bde8,2,20,Set1,1,1.495,in
L53666_2026-07-30_bde8,2,20,Set1,2,1.497,in
L53666_2026-07-30_bde8,2,20,Set2,1,1.491,in
L53666_2026-07-30_bde8,2,20,Set2,2,1.492,in
L53666_2026-07-30_bde8,3,40,Set1,1,1.492,in
L53666_2026-07-30_bde8,3,40,Set1,2,1.495,in
L53666_2026-07-30_bde8,3,40,Set2,1,1.486,in
L53666_2026-07-30_bde8,3,40,Set2,2,1.488,in
L53666_2026-07-30_bde8,4,60,Set1,1,1.491,in
L53666_2026-07-30_bde8,4,60,Set1,2,1.492,in
L53666_2026-07-30_bde8,4,60,Set2,1,1.484,in
L53666_2026-07-30_bde8,4,60,Set2,2,1.486,in
L53666_2026-07-30_bde8,5,80,Set1,1,1.489,in
L53666_2026-07-30_bde8,5,80,Set1,2,1.49,in
L53666_2026-07-30_bde8,5,80,Set2,1,1.481,in
L53666_2026-07-30_bde8,5,80,Set2,2,1.482,in
L53666_2026-07-30_bde8,6,100,Set1,1,1.487,in
L53666_2026-07-30_bde8,6,100,Set1,2,1.487,in
L53666_2026-07-30_bde8,6,100,Set2,1,1.479,in
L53666_2026-07-30_bde8,6,100,Set2,2,1.481,in
L53666_2026-07-30_bde8,7,120,Set1,1,1.483,in
L53666_2026-07-30_bde8,7,120,Set1,2,1.484,in
L53666_2026-07-30_bde8,7,120,Set2,1,1.477,in
L53666_2026-07-30_bde8,7,120,Set2,2,1.479,in
L53666_2026-07-30_bde8,8,140,Set1,1,1.481,in
L53666_2026-07-30_bde8,8,140,Set1,2,1.481,in
L53666_2026-07-30_bde8,8,140,Set2,1,1.476,in
L53666_2026-07-30_bde8,8,140,Set2,2,1.477,in
