run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53671- 2_2026-05-08_5158,1,0,Set1,1,1.505,in
L53671- 2_2026-05-08_5158,1,0,Set1,2,1.503,in
L53671- 2_2026-05-08_5158,1,0,Set2,1,1.504,in
L53671- 2_2026-05-08_5158,1,0,Set2,2,1.504,in
L53671- 2_2026-05-08_5158,2,20,Set1,1,1.499,in
L53671- 2_2026-05-08_5158,2,20,Set1,2,1.5,in
L53671- 2_2026-05-08_5158,2,20,Set2,1,1.499,in
L53671- 2_2026-05-08_5158,2,20,Set2,2,1.499,in
L53671- 2_2026-05-08_5158,3,40,Set1,1,1.496,in
L53671- 2_2026-05-08_5158,3,40,Set1,2,1.497,in
L53671- 2_2026-05-08_5158,3,40,Set2,1,1.496,in
L53671- 2_2026-05-08_5158,3,40,Set2,2,1.496,in
L53671- 2_2026-05-08_5158,4,60,Set1,1,1.494,in
L53671- 2_2026-05-08_5158,4,60,Set1,2,1.495,in
L53671- 2_2026-05-08_5158,4,60,Set2,1,1.494,in
L53671- 2_2026-05-08_5158,4,60,Set2,2,1.494,in
L53671- 2_2026-05-08_5158,5,80,Set1,1,1.492,in
L53671- 2_2026-05-08_5158,5,80,Set1,2,1.491,in
L53671- 2_2026-05-08_5158,5,80,Set2,1,1.492,in
L53671- 2_2026-05-08_5158,5,80,Set2,2,1.492,in
L53671- 2_2026-05-08_5158,6,100,Set1,1,1.49,in
L53671- 2_2026-05-08_5158,6,100,Set1,2,1.49,in
L53671- 2_2026-05-08_5158,6,100,Set2,1,1.49,in
L53671- 2_2026-05-08_5158,6,100,Set2,2,1.491,in
L53671- 2_2026-05-08_5158,7,120,Set1,1,1.489,in
L53671- 2_2026-05-08_5158,7,120,Set1,2,1.489,in
L53671- 2_2026-05-08_5158,7,120,Set2,1,1.489,in
L53671- 2_2026-05-08_5158,7,120,Set2,2,1.489,in
L53671- 2_2026-05-08_5158,8,140,Set1,1,1.488,in
L53671- 2_2026-05-08_5158,8,140,Set1,2,1.488,in
L53671- 2_2026-05-08_5158,8,140,Set2,1,1.489,in
L53671- 2_2026-05-08_5158,8,140,Set2,2,1.488,in
