run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53676_2026-03-19_bef3,1,0,Set1,1,1.533,in
L53676_2026-03-19_bef3,1,0,Set1,2,1.533,in
L53676_2026-03-19_bef3,1,0,Set2,1,1.533,in
L53676_2026-03-19_bef3,1,0,Set2,2,1.537,in
L53676_2026-03-19_bef3,2,20,Set1,1,1.524,in
L53676_2026-03-19_bef3,2,20,Set1,2,1.527,in
L53676_2026-03-19_bef3,2,20,Set2,1,1.524,in
L53676_2026-03-19_bef3,2,20,Set2,2,1.525,in
L53676_2026-03-19_bef3,3,40,Set1,1,1.52,in
L53676_2026-03-19_bef3,3,40,Set1,2,1.524,in
L53676_2026-03-19_bef3,3,40,Set2,1,1.521,in
L53676_2026-03-19_bef3,3,40,Set2,2,1.522,in
L53676_2026-03-19_bef3,4,60,Set1,1,1.517,in
L53676_2026-03-19_bef3,4,60,Set1,2,1.522,in
L53676_2026-03-19_bef3,4,60,Set2,1,1.519,in
L53676_2026-03-19_bef3,4,60,Set2,2,1.52,in
L53676_2026-03-19_bef3,5,80,Set1,1,1.514,in
L53676_2026-03-19_bef3,5,80,Set1,2,1.519,in
L53676_2026-03-19_bef3,5,80,Set2,1,1.516,in
L53676_2026-03-19_bef3,5,80,Set2,2,1.517,in
L53676_2026-03-19_bef3,6,100,Set1,1,1.512,in
L53676_2026-03-19_bef3,6,100,Set1,2,1.517,in
L53676_2026-03-19_bef3,6,100,Set2,1,1.514,in
L53676_2026-03-19_bef3,6,100,Set2,2,1.515,in
L53676_2026-03-19_bef3,7,120,Set1,1,1.511,in
L53676_2026-03-19_bef3,7,120,Set1,2,1.514,in
L53676_2026-03-19_bef3,7,120,Set2,1,1.512,in
L53676_2026-03-19_bef3,7,120,Set2,2,1.513,in
L53676_2026-03-19_bef3,8,140,Set1,1,1.509,in
L53676_2026-03-19_bef3,8,140,Set1,2,1.512,in
L53676_2026-03-19_bef3,8,140,Set2,1,1.511,in
L53676_2026-03-19_bef3,8,140,Set2,2,1.512,in
