run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53681_2026-04-07_407f,1,0,Set1,1,1.523,in
L53681_2026-04-07_407f,1,0,Set1,2,1.523,in
L53681_2026-04-07_407f,1,0,Set2,1,1.522,in
L53681_2026-04-07_407f,1,0,Set2,2,1.523,in
L53681_2026-04-07_407f,2,20,Set1,1,1.516,in
L53681_2026-04-07_407f,2,20,Set1,2,1.516,in
L53681_2026-04-07_407f,2,20,Set2,1,1.517,in
L53681_2026-04-07_407f,2,20,Set2,2,1.516,in
L53681_2026-04-07_407f,3,40,Set1,1,1.512,in
L53681_2026-04-07_407f,3,40,Set1,2,1.512,in
L53681_2026-04-07_407f,3,40,Set2,1,1.513,in
L53681_2026-04-07_407f,3,40,Set2,2,1.512,in
L53681_2026-04-07_407f,4,60,Set1,1,1.51,in
L53681_2026-04-07_407f,4,60,Set1,2,1.509,in
L53681_2026-04-07_407f,4,60,Set2,1,1.51,in
L53681_2026-04-07_407f,4,60,Set2,2,1.509,in
L53681_2026-04-07_407f,5,80,Set1,1,1.508,in
L53681_2026-04-07_407f,5,80,Set1,2,1.507,in
L53681_2026-04-07_407f,5,80,Set2,1,1.508,in
L53681_2026-04-07_407f,5,80,Set2,2,1.507,in
L53681_2026-04-07_407f,6,100,Set1,1,1.505,in
L53681_2026-04-07_407f,6,100,Set1,2,1.505,in
L53681_2026-04-07_407f,6,100,Set2,1,1.506,in
L53681_2026-04-07_407f,6,100,Set2,2,1.505,in
L53681_2026-04-07_407f,7,120,Set1,1,1.504,in
L53681_2026-04-07_407f,7,120,Set1,2,1.504,in
L53681_2026-04-07_407f,7,120,Set2,1,1.504,in
L53681_2026-04-07_407f,7,120,Set2,2,1.504,in
L53681_2026-04-07_407f,8,140,Set1,1,1.503,in
L53681_2026-04-07_407f,8,140,Set1,2,1.503,in
L53681_2026-04-07_407f,8,140,Set2,1,1.503,in
L53681_2026-04-07_407f,8,140,Set2,2,1.503,in
