run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53694_2026-03-12_7693,1,0,Set1,1,1.584,in
L53694_2026-03-12_7693,1,0,Set1,2,1.584,in
L53694_2026-03-12_7693,1,0,Set2,1,1.585,in
L53694_2026-03-12_7693,1,0,Set2,2,1.584,in
L53694_2026-03-12_7693,2,20,Set1,1,1.578,in
L53694_2026-03-12_7693,2,20,Set1,2,1.578,in
L53694_2026-03-12_7693,2,20,Set2,1,1.579,in
L53694_2026-03-12_7693,2,20,Set2,2,1.578,in
L53694_2026-03-12_7693,3,40,Set1,1,1.573,in
L53694_2026-03-12_7693,3,40,Set1,2,1.574,in
L53694_2026-03-12_7693,3,40,Set2,1,1.574,in
L53694_2026-03-12_7693,3,40,Set2,2,1.574,in
L53694_2026-03-12_7693,4,60,Set1,1,1.57,in
L53694_2026-03-12_7693,4,60,Set1,2,1.571,in
L53694_2026-03-12_7693,4,60,Set2,1,1.57,in
L53694_2026-03-12_7693,4,60,Set2,2,1.57,in
L53694_2026-03-12_7693,5,80,Set1,1,1.567,in
L53694_2026-03-12_7693,5,80,Set1,2,1.567,in
L53694_2026-03-12_7693,5,80,Set2,1,1.567,in
L53694_2026-03-12_7693,5,80,Set2,2,1.567,in
L53694_2026-03-12_7693,6,100,Set1,1,1.565,in
L53694_2026-03-12_7693,6,100,Set1,2,1.564,in
L53694_2026-03-12_7693,6,100,Set2,1,1.565,in
L53694_2026-03-12_7693,6,100,Set2,2,1.566,in
L53694_2026-03-12_7693,7,120,Set1,1,1.563,in
L53694_2026-03-12_7693,7,120,Set1,2,1.562,in
L53694_2026-03-12_7693,7,120,Set2,1,1.563,in
L53694_2026-03-12_7693,7,120,Set2,2,1.563,in
L53694_2026-03-12_7693,8,140,Set1,1,1.561,in
L53694_2026-03-12_7693,8,140,Set1,2,1.56,in
L53694_2026-03-12_7693,8,140,Set2,1,1.561,in
L53694_2026-03-12_7693,8,140,Set2,2,1.561,in
