run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53809_2026-05-14_d9b8,1,0,Set1,1,1.484,in
L53809_2026-05-14_d9b8,1,0,Set1,2,1.484,in
L53809_2026-05-14_d9b8,1,0,Set2,1,1.482,in
L53809_2026-05-14_d9b8,1,0,Set2,2,1.483,in
L53809_2026-05-14_d9b8,2,20,Set1,1,1.475,in
L53809_2026-05-14_d9b8,2,20,Set1,2,1.475,in
L53809_2026-05-14_d9b8,2,20,Set2,1,1.475,in
L53809_2026-05-14_d9b8,2,20,Set2,2,1.475,in
L53809_2026-05-14_d9b8,3,40,Set1,1,1.47,in
L53809_2026-05-14_d9b8,3,40,Set1,2,1.471,in
L53809_2026-05-14_d9b8,3,40,Set2,1,1.471,in
L53809_2026-05-14_d9b8,3,40,Set2,2,1.471,in
L53809_2026-05-14_d9b8,4,60,Set1,1,1.467,in
L53809_2026-05-14_d9b8,4,60,Set1,2,1.467,in
L53809_2026-05-14_d9b8,4,60,Set2,1,1.467,in
L53809_2026-05-14_d9b8,4,60,Set2,2,1.467,in
L53809_2026-05-14_d9b8,5,80,Set1,1,1.463,in
L53809_2026-05-14_d9b8,5,80,Set1,2,1.463,in
L53809_2026-05-14_d9b8,5,80,Set2,1,1.463,in
L53809_2026-05-14_d9b8,5,80,Set2,2,1.464,in
L53809_2026-05-14_d9b8,6,100,Set1,1,1.461,in
L53809_2026-05-14_d9b8,6,100,Set1,2,1.461,in
L53809_2026-05-14_d9b8,6,100,Set2,1,1.461,in
L53809_2026-05-14_d9b8,6,100,Set2,2,1.461,in
L53809_2026-05-14_d9b8,7,120,Set1,1,1.46,in
L53809_2026-05-14_d9b8,7,120,Set1,2,1.46,in
L53809_2026-05-14_d9b8,7,120,Set2,1,1.46,in
L53809_2026-05-14_d9b8,7,120,Set2,2,1.46,in
L53809_2026-05-14_d9b8,8,140,Set1,1,1.459,in
L53809_2026-05-14_d9b8,8,140,Set1,2,1.459,in
L53809_2026-05-14_d9b8,8,140,Set2,1,1.459,in
L53809_2026-05-14_d9b8,8,140,Set2,2,1.459,in
