run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
N2717-1_2026-06-16_6561,1,0,Set1,1,1.69448818897638,in
N2717-1_2026-06-16_6561,1,0,Set1,2,1.69488188976378,in
N2717-1_2026-06-16_6561,1,0,Set2,1,1.69448818897638,in
N2717-1_2026-06-16_6561,1,0,Set2,2,1.69488188976378,in
N2717-1_2026-06-16_6561,2,20,Set1,1,1.63346456692913,in
N2717-1_2026-06-16_6561,2,20,Set1,2,1.63385826771654,in
N2717-1_2026-06-16_6561,2,20,Set2,1,1.63346456692913,in
N2717-1_2026-06-16_6561,2,20,Set2,2,1.63385826771654,in
N2717-1_2026-06-16_6561,3,40,Set1,1,1.62952755905512,in
N2717-1_2026-06-16_6561,3,40,Set1,2,1.62952755905512,in
N2717-1_2026-06-16_6561,3,40,Set2,1,1.62952755905512,in
N2717-1_2026-06-16_6561,3,40,Set2,2,1.62952755905512,in
N2717-1_2026-06-16_6561,4,60,Set1,1,1.6259842519685,in
N2717-1_2026-06-16_6561,4,60,Set1,2,1.6259842519685,in
N2717-1_2026-06-16_6561,4,60,Set2,1,1.6259842519685,in
N2717-1_2026-06-16_6561,4,60,Set2,2,1.6259842519685,in
N2717-1_2026-06-16_6561,5,80,Set1,1,1.62204724409449,in
N2717-1_2026-06-16_6561,5,80,Set1,2,1.62204724409449,in
N2717-1_2026-06-16_6561,5,80,Set2,1,1.62204724409449,in
N2717-1_2026-06-16_6561,5,80,Set2,2,1.62204724409449,in
N2717-1_2026-06-16_6561,6,100,Set1,1,1.62047244094488,in
N2717-1_2026-06-16_6561,6,100,Set1,2,1.62007874015748,in
N2717-1_2026-06-16_6561,6,100,Set2,1,1.62047244094488,in
N2717-1_2026-06-16_6561,6,100,Set2,2,1.62007874015748,in
N2717-1_2026-06-16_6561,7,120,Set1,1,1.61889763779528,in
N2717-1_2026-06-16_6561,7,120,Set1,2,1.61811023622047,in
N2717-1_2026-06-16_6561,7,120,Set2,1,1.61889763779528,in
N2717-1_2026-06-16_6561,7,120,Set2,2,1.61811023622047,in
N2717-1_2026-06-16_6561,8,140,Set1,1,1.61692913385827,in
N2717-1_2026-06-16_6561,8,140,Set1,2,1.61692913385827,in
N2717-1_2026-06-16_6561,8,140,Set2,1,1.61692913385827,in
N2717-1_2026-06-16_6561,8,140,Set2,2,1.61692913385827,in
