run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
TL1930_2026-05-14_b664,1,0,Set1,1,1.28700787401575,in
TL1930_2026-05-14_b664,1,0,Set1,2,1.28740157480315,in
TL1930_2026-05-14_b664,1,0,Set2,1,1.28700787401575,in
TL1930_2026-05-14_b664,1,0,Set2,2,1.28740157480315,in
TL1930_2026-05-14_b664,2,10,Set1,1,1.27716535433071,in
TL1930_2026-05-14_b664,2,10,Set1,2,1.27755905511811,in
TL1930_2026-05-14_b664,2,10,Set2,1,1.27716535433071,in
TL1930_2026-05-14_b664,2,10,Set2,2,1.27755905511811,in
TL1930_2026-05-14_b664,3,20,Set1,1,1.27165354330709,in
TL1930_2026-05-14_b664,3,20,Set1,2,1.27244094488189,in
TL1930_2026-05-14_b664,3,20,Set2,1,1.27165354330709,in
TL1930_2026-05-14_b664,3,20,Set2,2,1.27244094488189,in
TL1930_2026-05-14_b664,4,30,Set1,1,1.26771653543307,in
TL1930_2026-05-14_b664,4,30,Set1,2,1.26850393700787,in
TL1930_2026-05-14_b664,4,30,Set2,1,1.26771653543307,in
TL1930_2026-05-14_b664,4,30,Set2,2,1.26850393700787,in
TL1930_2026-05-14_b664,5,40,Set1,1,1.26496062992126,in
TL1930_2026-05-14_b664,5,40,Set1,2,1.26574803149606,in
TL1930_2026-05-14_b664,5,40,Set2,1,1.26496062992126,in
TL1930_2026-05-14_b664,5,40,Set2,2,1.26574803149606,in
TL1930_2026-05-14_b664,6,50,Set1,1,1.26220472440945,in
TL1930_2026-05-14_b664,6,50,Set1,2,1.26299212598425,in
TL1930_2026-05-14_b664,6,50,Set2,1,1.26220472440945,in
TL1930_2026-05-14_b664,6,50,Set2,2,1.26299212598425,in
TL1930_2026-05-14_b664,7,60,Set1,1,1.25984251968504,in
TL1930_2026-05-14_b664,7,60,Set1,2,1.26062992125984,in
TL1930_2026-05-14_b664,7,60,Set2,1,1.25984251968504,in
TL1930_2026-05-14_b664,7,60,Set2,2,1.26062992125984,in
TL1930_2026-05-14_b664,8,70,Set1,1,1.25748031496063,in
TL1930_2026-05-14_b664,8,70,Set1,2,1.25826771653543,in
TL1930_2026-05-14_b664,8,70,Set2,1,1.25748031496063,in
TL1930_2026-05-14_b664,8,70,Set2,2,1.25826771653543,in
TL1930_2026-05-14_b664,9,80,Set1,1,1.25551181102362,in
TL1930_2026-05-14_b664,9,80,Set1,2,1.25629921259843,in
TL1930_2026-05-14_b664,9,80,Set2,1,1.25551181102362,in
TL1930_2026-05-14_b664,9,80,Set2,2,1.25629921259843,in
