run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
20994_2024-09-06_62c8,1,0,Set1,1,41.5544,mm
20994_2024-09-06_62c8,1,0,Set1,2,41.529,mm
20994_2024-09-06_62c8,1,0,Set2,1,41.5036,mm
20994_2024-09-06_62c8,1,0,Set2,2,41.5036,mm
20994_2024-09-06_62c8,2,20,Set1,1,41.5036,mm
20994_2024-09-06_62c8,2,20,Set1,2,41.5036,mm
20994_2024-09-06_62c8,2,20,Set2,1,41.5036,mm
20994_2024-09-06_62c8,2,20,Set2,2,41.4782,mm
20994_2024-09-06_62c8,3,40,Set1,1,41.4274,mm
20994_2024-09-06_62c8,3,40,Set1,2,41.4274,mm
20994_2024-09-06_62c8,3,40,Set2,1,41.4528,mm
20994_2024-09-06_62c8,3,40,Set2,2,41.402,mm
20994_2024-09-06_62c8,4,60,Set1,1,41.3258,mm
20994_2024-09-06_62c8,4,60,Set1,2,41.3004,mm
20994_2024-09-06_62c8,4,60,Set2,1,41.3512,mm
20994_2024-09-06_62c8,4,60,Set2,2,41.3004,mm
20994_2024-09-06_62c8,5,80,Set1,1,41.275,mm
20994_2024-09-06_62c8,5,80,Set1,2,41.2496,mm
20994_2024-09-06_62c8,5,80,Set2,1,41.275,mm
20994_2024-09-06_62c8,5,80,Set2,2,41.2242,mm
20994_2024-09-06_62c8,6,100,Set1,1,41.2242,mm
20994_2024-09-06_62c8,6,100,Set1,2,41.1988,mm
20994_2024-09-06_62c8,6,100,Set2,1,41.2242,mm
20994_2024-09-06_62c8,6,100,Set2,2,41.1734,mm
20994_2024-09-06_62c8,7,120,Set1,1,41.148,mm
20994_2024-09-06_62c8,7,120,Set1,2,41.1226,mm
20994_2024-09-06_62c8,7,120,Set2,1,41.148,mm
20994_2024-09-06_62c8,7,120,Set2,2,41.1226,mm
20994_2024-09-06_62c8,8,140,Set1,1,41.1226,mm
20994_2024-09-06_62c8,8,140,Set1,2,41.0972,mm
20994_2024-09-06_62c8,8,140,Set2,1,41.0972,mm
20994_2024-09-06_62c8,8,140,Set2,2,41.0718,mm
