run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
25576_2026-01-02_898b,1,0,Set1,1,40.8686,mm
25576_2026-01-02_898b,1,0,Set1,2,40.767,mm
25576_2026-01-02_898b,1,0,Set2,1,41.656,mm
25576_2026-01-02_898b,1,0,Set2,2,41.6814,mm
25576_2026-01-02_898b,2,20,Set1,1,40.4622,mm
25576_2026-01-02_898b,2,20,Set1,2,40.4622,mm
25576_2026-01-02_898b,2,20,Set2,1,40.4622,mm
25576_2026-01-02_898b,2,20,Set2,2,40.4114,mm
25576_2026-01-02_898b,3,40,Set1,1,40.3606,mm
25576_2026-01-02_898b,3,40,Set1,2,40.3098,mm
25576_2026-01-02_898b,3,40,Set2,1,40.3098,mm
25576_2026-01-02_898b,3,40,Set2,2,40.2844,mm
25576_2026-01-02_898b,4,60,Set1,1,40.2082,mm
25576_2026-01-02_898b,4,60,Set1,2,40.2336,mm
25576_2026-01-02_898b,4,60,Set2,1,40.259,mm
25576_2026-01-02_898b,4,60,Set2,2,40.259,mm
25576_2026-01-02_898b,5,80,Set1,1,40.1574,mm
25576_2026-01-02_898b,5,80,Set1,2,40.1574,mm
25576_2026-01-02_898b,5,80,Set2,1,40.1828,mm
25576_2026-01-02_898b,5,80,Set2,2,40.1828,mm
25576_2026-01-02_898b,6,100,Set1,1,40.1066,mm
25576_2026-01-02_898b,6,100,Set1,2,40.1066,mm
25576_2026-01-02_898b,6,100,Set2,1,40.1066,mm
25576_2026-01-02_898b,6,100,Set2,2,40.1066,mm
25576_2026-01-02_898b,7,120,Set1,1,40.0558,mm
25576_2026-01-02_898b,7,120,Set1,2,40.0558,mm
25576_2026-01-02_898b,7,120,Set2,1,40.0304,mm
25576_2026-01-02_898b,7,120,Set2,2,40.005,mm
25576_2026-01-02_898b,8,140,Set1,1,40.0304,mm
25576_2026-01-02_898b,8,140,Set1,2,40.0304,mm
25576_2026-01-02_898b,8,140,Set2,1,39.9796,mm
25576_2026-01-02_898b,8,140,Set2,2,39.9542,mm
