run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
25583_2025-12-17_a863,1,0,Set1,1,42.418,mm
25583_2025-12-17_a863,1,0,Set1,2,42.3164,mm
25583_2025-12-17_a863,1,0,Set2,1,42.1894,mm
25583_2025-12-17_a863,1,0,Set2,2,42.1894,mm
25583_2025-12-17_a863,2,20,Set1,1,42.1132,mm
25583_2025-12-17_a863,2,20,Set1,2,42.164,mm
25583_2025-12-17_a863,2,20,Set2,1,41.9862,mm
25583_2025-12-17_a863,2,20,Set2,2,42.0878,mm
25583_2025-12-17_a863,3,40,Set1,1,42.0116,mm
25583_2025-12-17_a863,3,40,Set1,2,42.037,mm
25583_2025-12-17_a863,3,40,Set2,1,41.9354,mm
25583_2025-12-17_a863,3,40,Set2,2,41.9608,mm
25583_2025-12-17_a863,4,60,Set1,1,41.91,mm
25583_2025-12-17_a863,4,60,Set1,2,41.9608,mm
25583_2025-12-17_a863,4,60,Set2,1,41.8846,mm
25583_2025-12-17_a863,4,60,Set2,2,41.8846,mm
25583_2025-12-17_a863,5,80,Set1,1,41.8592,mm
25583_2025-12-17_a863,5,80,Set1,2,41.8592,mm
25583_2025-12-17_a863,5,80,Set2,1,41.8084,mm
25583_2025-12-17_a863,5,80,Set2,2,41.8338,mm
25583_2025-12-17_a863,6,100,Set1,1,41.7322,mm
25583_2025-12-17_a863,6,100,Set1,2,41.8084,mm
25583_2025-12-17_a863,6,100,Set2,1,41.783,mm
25583_2025-12-17_a863,6,100,Set2,2,41.783,mm
25583_2025-12-17_a863,7,120,Set1,1,41.6814,mm
25583_2025-12-17_a863,7,120,Set1,2,41.7068,mm
25583_2025-12-17_a863,7,120,Set2,1,41.7322,mm
25583_2025-12-17_a863,7,120,Set2,2,41.7322,mm
25583_2025-12-17_a863,8,140,Set1,1,41.6306,mm
25583_2025-12-17_a863,8,140,Set1,2,41.6052,mm
25583_2025-12-17_a863,8,140,Set2,1,41.656,mm
25583_2025-12-17_a863,8,140,Set2,2,41.656,mm
