run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
25716_2026-03-10_8677,1,0,Set1,1,42.9514,mm
25716_2026-03-10_8677,1,0,Set1,2,43.0276,mm
25716_2026-03-10_8677,1,0,Set2,1,43.0276,mm
25716_2026-03-10_8677,1,0,Set2,2,43.0276,mm
25716_2026-03-10_8677,2,20,Set1,1,42.672,mm
25716_2026-03-10_8677,2,20,Set1,2,42.6974,mm
25716_2026-03-10_8677,2,20,Set2,1,42.6466,mm
25716_2026-03-10_8677,2,20,Set2,2,42.5958,mm
25716_2026-03-10_8677,3,40,Set1,1,42.5704,mm
25716_2026-03-10_8677,3,40,Set1,2,42.5704,mm
25716_2026-03-10_8677,3,40,Set2,1,42.4688,mm
25716_2026-03-10_8677,3,40,Set2,2,42.5196,mm
25716_2026-03-10_8677,4,60,Set1,1,42.4688,mm
25716_2026-03-10_8677,4,60,Set1,2,42.4942,mm
25716_2026-03-10_8677,4,60,Set2,1,42.3926,mm
25716_2026-03-10_8677,4,60,Set2,2,42.418,mm
25716_2026-03-10_8677,5,80,Set1,1,42.418,mm
25716_2026-03-10_8677,5,80,Set1,2,42.3926,mm
25716_2026-03-10_8677,5,80,Set2,1,42.3418,mm
25716_2026-03-10_8677,5,80,Set2,2,42.3164,mm
25716_2026-03-10_8677,6,100,Set1,1,42.3164,mm
25716_2026-03-10_8677,6,100,Set1,2,42.3164,mm
25716_2026-03-10_8677,6,100,Set2,1,42.2402,mm
25716_2026-03-10_8677,6,100,Set2,2,42.2656,mm
25716_2026-03-10_8677,7,120,Set1,1,42.2656,mm
25716_2026-03-10_8677,7,120,Set1,2,42.2656,mm
25716_2026-03-10_8677,7,120,Set2,1,42.2148,mm
25716_2026-03-10_8677,7,120,Set2,2,42.1894,mm
25716_2026-03-10_8677,8,140,Set1,1,42.1894,mm
25716_2026-03-10_8677,8,140,Set1,2,42.1894,mm
25716_2026-03-10_8677,8,140,Set2,1,42.164,mm
25716_2026-03-10_8677,8,140,Set2,2,42.1386,mm
