run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
25868_2026-02-05_8a32,1,0,Set1,1,41.529,mm
25868_2026-02-05_8a32,1,0,Set1,2,41.4782,mm
25868_2026-02-05_8a32,1,0,Set2,1,41.529,mm
25868_2026-02-05_8a32,1,0,Set2,2,41.4274,mm
25868_2026-02-05_8a32,2,20,Set1,1,41.3766,mm
25868_2026-02-05_8a32,2,20,Set1,2,41.3258,mm
25868_2026-02-05_8a32,2,20,Set2,1,41.3766,mm
25868_2026-02-05_8a32,2,20,Set2,2,41.3258,mm
25868_2026-02-05_8a32,3,40,Set1,1,41.2242,mm
25868_2026-02-05_8a32,3,40,Set1,2,41.1988,mm
25868_2026-02-05_8a32,3,40,Set2,1,41.2496,mm
25868_2026-02-05_8a32,3,40,Set2,2,41.1734,mm
25868_2026-02-05_8a32,4,60,Set1,1,41.1734,mm
25868_2026-02-05_8a32,4,60,Set1,2,41.1226,mm
25868_2026-02-05_8a32,4,60,Set2,1,41.1734,mm
25868_2026-02-05_8a32,4,60,Set2,2,41.1226,mm
25868_2026-02-05_8a32,5,80,Set1,1,41.0972,mm
25868_2026-02-05_8a32,5,80,Set1,2,41.021,mm
25868_2026-02-05_8a32,5,80,Set2,1,41.0718,mm
25868_2026-02-05_8a32,5,80,Set2,2,41.021,mm
25868_2026-02-05_8a32,6,100,Set1,1,41.021,mm
25868_2026-02-05_8a32,6,100,Set1,2,40.9956,mm
25868_2026-02-05_8a32,6,100,Set2,1,41.021,mm
25868_2026-02-05_8a32,6,100,Set2,2,40.9448,mm
25868_2026-02-05_8a32,7,120,Set1,1,40.9702,mm
25868_2026-02-05_8a32,7,120,Set1,2,40.894,mm
25868_2026-02-05_8a32,7,120,Set2,1,40.9448,mm
25868_2026-02-05_8a32,7,120,Set2,2,40.894,mm
25868_2026-02-05_8a32,8,140,Set1,1,40.894,mm
25868_2026-02-05_8a32,8,140,Set1,2,40.8432,mm
25868_2026-02-05_8a32,8,140,Set2,1,40.894,mm
25868_2026-02-05_8a32,8,140,Set2,2,40.8432,mm
