run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
25883_2026-01-22_e01b,1,0,Set1,1,39.497,mm
25883_2026-01-22_e01b,1,0,Set1,2,39.497,mm
25883_2026-01-22_e01b,1,0,Set2,1,39.497,mm
25883_2026-01-22_e01b,1,0,Set2,2,39.4208,mm
25883_2026-01-22_e01b,2,20,Set1,1,39.2938,mm
25883_2026-01-22_e01b,2,20,Set1,2,39.243,mm
25883_2026-01-22_e01b,2,20,Set2,1,39.2176,mm
25883_2026-01-22_e01b,2,20,Set2,2,39.2684,mm
25883_2026-01-22_e01b,3,40,Set1,1,39.116,mm
25883_2026-01-22_e01b,3,40,Set1,2,39.1414,mm
25883_2026-01-22_e01b,3,40,Set2,1,39.1668,mm
25883_2026-01-22_e01b,3,40,Set2,2,39.116,mm
25883_2026-01-22_e01b,4,60,Set1,1,39.0652,mm
25883_2026-01-22_e01b,4,60,Set1,2,39.0398,mm
25883_2026-01-22_e01b,4,60,Set2,1,39.0652,mm
25883_2026-01-22_e01b,4,60,Set2,2,39.0652,mm
25883_2026-01-22_e01b,5,80,Set1,1,38.989,mm
25883_2026-01-22_e01b,5,80,Set1,2,38.9636,mm
25883_2026-01-22_e01b,5,80,Set2,1,38.989,mm
25883_2026-01-22_e01b,5,80,Set2,2,38.9636,mm
25883_2026-01-22_e01b,6,100,Set1,1,38.8874,mm
25883_2026-01-22_e01b,6,100,Set1,2,38.8874,mm
25883_2026-01-22_e01b,6,100,Set2,1,38.9128,mm
25883_2026-01-22_e01b,6,100,Set2,2,38.9128,mm
25883_2026-01-22_e01b,7,120,Set1,1,38.8366,mm
25883_2026-01-22_e01b,7,120,Set1,2,38.8366,mm
25883_2026-01-22_e01b,7,120,Set2,1,38.8112,mm
25883_2026-01-22_e01b,7,120,Set2,2,38.8112,mm
25883_2026-01-22_e01b,8,140,Set1,1,38.7604,mm
25883_2026-01-22_e01b,8,140,Set1,2,38.7604,mm
25883_2026-01-22_e01b,8,140,Set2,1,38.7604,mm
25883_2026-01-22_e01b,8,140,Set2,2,38.7604,mm
