run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
26091_2026-07-15_c073,1,0,Set1,1,42.3418,mm
26091_2026-07-15_c073,1,0,Set1,2,42.3418,mm
26091_2026-07-15_c073,1,0,Set2,1,42.291,mm
26091_2026-07-15_c073,1,0,Set2,2,42.1386,mm
26091_2026-07-15_c073,2,20,Set1,1,41.9354,mm
26091_2026-07-15_c073,2,20,Set1,2,41.91,mm
26091_2026-07-15_c073,2,20,Set2,1,42.037,mm
26091_2026-07-15_c073,2,20,Set2,2,42.037,mm
26091_2026-07-15_c073,3,40,Set1,1,41.8338,mm
26091_2026-07-15_c073,3,40,Set1,2,41.7322,mm
26091_2026-07-15_c073,3,40,Set2,1,41.8592,mm
26091_2026-07-15_c073,3,40,Set2,2,41.8846,mm
26091_2026-07-15_c073,4,60,Set1,1,41.783,mm
26091_2026-07-15_c073,4,60,Set1,2,41.6052,mm
26091_2026-07-15_c073,4,60,Set2,1,41.8084,mm
26091_2026-07-15_c073,4,60,Set2,2,41.6814,mm
26091_2026-07-15_c073,5,80,Set1,1,41.6052,mm
26091_2026-07-15_c073,5,80,Set1,2,41.6052,mm
26091_2026-07-15_c073,5,80,Set2,1,41.7322,mm
26091_2026-07-15_c073,5,80,Set2,2,41.6306,mm
26091_2026-07-15_c073,6,100,Set1,1,41.6052,mm
26091_2026-07-15_c073,6,100,Set1,2,41.5036,mm
26091_2026-07-15_c073,6,100,Set2,1,41.6306,mm
26091_2026-07-15_c073,6,100,Set2,2,41.5544,mm
26091_2026-07-15_c073,7,120,Set1,1,41.529,mm
26091_2026-07-15_c073,7,120,Set1,2,41.4528,mm
26091_2026-07-15_c073,7,120,Set2,1,41.6052,mm
26091_2026-07-15_c073,7,120,Set2,2,41.4782,mm
26091_2026-07-15_c073,8,140,Set1,1,41.4782,mm
26091_2026-07-15_c073,8,140,Set1,2,41.4528,mm
26091_2026-07-15_c073,8,140,Set2,1,41.4782,mm
26091_2026-07-15_c073,8,140,Set2,2,41.4528,mm
