run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
26106_2026-05-20_ffb0,1,0,Set1,1,42.291,mm
26106_2026-05-20_ffb0,1,0,Set1,2,42.164,mm
26106_2026-05-20_ffb0,1,0,Set2,1,42.1894,mm
26106_2026-05-20_ffb0,1,0,Set2,2,42.2402,mm
26106_2026-05-20_ffb0,2,20,Set1,1,41.9354,mm
26106_2026-05-20_ffb0,2,20,Set1,2,42.0116,mm
26106_2026-05-20_ffb0,2,20,Set2,1,41.9608,mm
26106_2026-05-20_ffb0,2,20,Set2,2,41.9608,mm
26106_2026-05-20_ffb0,3,40,Set1,1,41.91,mm
26106_2026-05-20_ffb0,3,40,Set1,2,41.91,mm
26106_2026-05-20_ffb0,3,40,Set2,1,41.8592,mm
26106_2026-05-20_ffb0,3,40,Set2,2,41.8592,mm
26106_2026-05-20_ffb0,4,60,Set1,1,41.783,mm
26106_2026-05-20_ffb0,4,60,Set1,2,41.8084,mm
26106_2026-05-20_ffb0,4,60,Set2,1,41.7068,mm
26106_2026-05-20_ffb0,4,60,Set2,2,41.783,mm
26106_2026-05-20_ffb0,5,80,Set1,1,41.7068,mm
26106_2026-05-20_ffb0,5,80,Set1,2,41.6814,mm
26106_2026-05-20_ffb0,5,80,Set2,1,41.6306,mm
26106_2026-05-20_ffb0,5,80,Set2,2,41.7068,mm
26106_2026-05-20_ffb0,6,100,Set1,1,41.6052,mm
26106_2026-05-20_ffb0,6,100,Set1,2,41.6306,mm
26106_2026-05-20_ffb0,6,100,Set2,1,41.529,mm
26106_2026-05-20_ffb0,6,100,Set2,2,41.656,mm
26106_2026-05-20_ffb0,7,120,Set1,1,41.529,mm
26106_2026-05-20_ffb0,7,120,Set1,2,41.5036,mm
26106_2026-05-20_ffb0,7,120,Set2,1,41.4782,mm
26106_2026-05-20_ffb0,7,120,Set2,2,41.529,mm
26106_2026-05-20_ffb0,8,140,Set1,1,41.4782,mm
26106_2026-05-20_ffb0,8,140,Set1,2,41.5036,mm
26106_2026-05-20_ffb0,8,140,Set2,1,41.402,mm
26106_2026-05-20_ffb0,8,140,Set2,2,41.4782,mm
