run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
26853_2026-07-09_3b5c,1,0,Set1,1,24.2824,mm
26853_2026-07-09_3b5c,1,0,Set1,2,24.3586,mm
26853_2026-07-09_3b5c,1,0,Set2,1,24.3332,mm
26853_2026-07-09_3b5c,1,0,Set2,2,24.3078,mm
26853_2026-07-09_3b5c,2,10,Set1,1,24.1554,mm
26853_2026-07-09_3b5c,2,10,Set1,2,24.2316,mm
26853_2026-07-09_3b5c,2,10,Set2,1,24.1808,mm
26853_2026-07-09_3b5c,2,10,Set2,2,24.1554,mm
26853_2026-07-09_3b5c,3,20,Set1,1,24.1046,mm
26853_2026-07-09_3b5c,3,20,Set1,2,24.1554,mm
26853_2026-07-09_3b5c,3,20,Set2,1,24.13,mm
26853_2026-07-09_3b5c,3,20,Set2,2,24.1046,mm
26853_2026-07-09_3b5c,4,30,Set1,1,24.0284,mm
26853_2026-07-09_3b5c,4,30,Set1,2,24.0792,mm
26853_2026-07-09_3b5c,4,30,Set2,1,24.0538,mm
26853_2026-07-09_3b5c,4,30,Set2,2,24.0538,mm
26853_2026-07-09_3b5c,5,40,Set1,1,24.003,mm
26853_2026-07-09_3b5c,5,40,Set1,2,23.9776,mm
26853_2026-07-09_3b5c,5,40,Set2,1,24.003,mm
26853_2026-07-09_3b5c,5,40,Set2,2,24.003,mm
26853_2026-07-09_3b5c,6,50,Set1,1,23.9268,mm
26853_2026-07-09_3b5c,6,50,Set1,2,23.9268,mm
26853_2026-07-09_3b5c,6,50,Set2,1,23.9522,mm
26853_2026-07-09_3b5c,6,50,Set2,2,23.9268,mm
26853_2026-07-09_3b5c,7,60,Set1,1,23.9268,mm
26853_2026-07-09_3b5c,7,60,Set1,2,23.9268,mm
26853_2026-07-09_3b5c,7,60,Set2,1,23.9014,mm
26853_2026-07-09_3b5c,7,60,Set2,2,23.9014,mm
