run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
27217_2026-06-11_ca0d,1,0,Set1,1,42.5196,mm
27217_2026-06-11_ca0d,1,0,Set1,2,42.5958,mm
27217_2026-06-11_ca0d,1,0,Set2,1,42.5196,mm
27217_2026-06-11_ca0d,1,0,Set2,2,42.5958,mm
27217_2026-06-11_ca0d,2,20,Set1,1,42.2402,mm
27217_2026-06-11_ca0d,2,20,Set1,2,42.1894,mm
27217_2026-06-11_ca0d,2,20,Set2,1,42.2402,mm
27217_2026-06-11_ca0d,2,20,Set2,2,42.1894,mm
27217_2026-06-11_ca0d,3,40,Set1,1,42.1132,mm
27217_2026-06-11_ca0d,3,40,Set1,2,42.0624,mm
27217_2026-06-11_ca0d,3,40,Set2,1,42.1132,mm
27217_2026-06-11_ca0d,3,40,Set2,2,42.0624,mm
27217_2026-06-11_ca0d,4,60,Set1,1,42.0116,mm
27217_2026-06-11_ca0d,4,60,Set1,2,42.0116,mm
27217_2026-06-11_ca0d,4,60,Set2,1,42.0116,mm
27217_2026-06-11_ca0d,4,60,Set2,2,42.0116,mm
27217_2026-06-11_ca0d,5,80,Set1,1,41.91,mm
27217_2026-06-11_ca0d,5,80,Set1,2,41.8846,mm
27217_2026-06-11_ca0d,5,80,Set2,1,41.91,mm
27217_2026-06-11_ca0d,5,80,Set2,2,41.8846,mm
27217_2026-06-11_ca0d,6,100,Set1,1,41.8084,mm
27217_2026-06-11_ca0d,6,100,Set1,2,41.783,mm
27217_2026-06-11_ca0d,6,100,Set2,1,41.8084,mm
27217_2026-06-11_ca0d,6,100,Set2,2,41.783,mm
27217_2026-06-11_ca0d,7,120,Set1,1,41.7068,mm
27217_2026-06-11_ca0d,7,120,Set1,2,41.7068,mm
27217_2026-06-11_ca0d,7,120,Set2,1,41.7068,mm
27217_2026-06-11_ca0d,7,120,Set2,2,41.7068,mm
27217_2026-06-11_ca0d,8,140,Set1,1,41.656,mm
27217_2026-06-11_ca0d,8,140,Set1,2,41.656,mm
27217_2026-06-11_ca0d,8,140,Set2,1,41.656,mm
27217_2026-06-11_ca0d,8,140,Set2,2,41.656,mm
27217_2026-06-11_ca0d,9,160,Set1,1,41.6052,mm
27217_2026-06-11_ca0d,9,160,Set1,2,41.6052,mm
27217_2026-06-11_ca0d,9,160,Set2,1,41.6052,mm
27217_2026-06-11_ca0d,9,160,Set2,2,41.6052,mm
