run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
43004_2026-06-03_e9e0,1,0,Set1,1,29.37,mm
43004_2026-06-03_e9e0,1,0,Set1,2,29.42,mm
43004_2026-06-03_e9e0,1,0,Set2,1,29.37,mm
43004_2026-06-03_e9e0,1,0,Set2,2,29.42,mm
43004_2026-06-03_e9e0,2,10,Set1,1,29.11,mm
43004_2026-06-03_e9e0,2,10,Set1,2,29.15,mm
43004_2026-06-03_e9e0,2,10,Set2,1,29.11,mm
43004_2026-06-03_e9e0,2,10,Set2,2,29.15,mm
43004_2026-06-03_e9e0,3,20,Set1,1,28.94,mm
43004_2026-06-03_e9e0,3,20,Set1,2,28.99,mm
43004_2026-06-03_e9e0,3,20,Set2,1,28.94,mm
43004_2026-06-03_e9e0,3,20,Set2,2,28.99,mm
43004_2026-06-03_e9e0,4,30,Set1,1,28.79,mm
43004_2026-06-03_e9e0,4,30,Set1,2,28.84,mm
43004_2026-06-03_e9e0,4,30,Set2,1,28.79,mm
43004_2026-06-03_e9e0,4,30,Set2,2,28.84,mm
43004_2026-06-03_e9e0,5,40,Set1,1,28.65,mm
43004_2026-06-03_e9e0,5,40,Set1,2,28.7,mm
43004_2026-06-03_e9e0,5,40,Set2,1,28.65,mm
43004_2026-06-03_e9e0,5,40,Set2,2,28.7,mm
43004_2026-06-03_e9e0,6,50,Set1,1,28.54,mm
43004_2026-06-03_e9e0,6,50,Set1,2,28.59,mm
43004_2026-06-03_e9e0,6,50,Set2,1,28.54,mm
43004_2026-06-03_e9e0,6,50,Set2,2,28.59,mm
43004_2026-06-03_e9e0,7,60,Set1,1,28.43,mm
43004_2026-06-03_e9e0,7,60,Set1,2,28.47,mm
43004_2026-06-03_e9e0,7,60,Set2,1,28.43,mm
43004_2026-06-03_e9e0,7,60,Set2,2,28.47,mm
