run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L52584_2026-05-05_21ac,1,0,Set1,1,39.1668,mm
L52584_2026-05-05_21ac,1,0,Set1,2,39.1922,mm
L52584_2026-05-05_21ac,1,0,Set2,1,39.1414,mm
L52584_2026-05-05_21ac,1,0,Set2,2,39.2684,mm
L52584_2026-05-05_21ac,2,20,Set1,1,39.0398,mm
L52584_2026-05-05_21ac,2,20,Set1,2,39.0652,mm
L52584_2026-05-05_21ac,2,20,Set2,1,39.0144,mm
L52584_2026-05-05_21ac,2,20,Set2,2,39.0398,mm
L52584_2026-05-05_21ac,3,40,Set1,1,38.9636,mm
L52584_2026-05-05_21ac,3,40,Set1,2,38.989,mm
L52584_2026-05-05_21ac,3,40,Set2,1,38.9128,mm
L52584_2026-05-05_21ac,3,40,Set2,2,38.9382,mm
L52584_2026-05-05_21ac,4,60,Set1,1,38.9128,mm
L52584_2026-05-05_21ac,4,60,Set1,2,38.9382,mm
L52584_2026-05-05_21ac,4,60,Set2,1,38.8874,mm
L52584_2026-05-05_21ac,4,60,Set2,2,38.9128,mm
L52584_2026-05-05_21ac,5,80,Set1,1,38.8366,mm
L52584_2026-05-05_21ac,5,80,Set1,2,38.862,mm
L52584_2026-05-05_21ac,5,80,Set2,1,38.8366,mm
L52584_2026-05-05_21ac,5,80,Set2,2,38.862,mm
L52584_2026-05-05_21ac,6,100,Set1,1,38.8112,mm
L52584_2026-05-05_21ac,6,100,Set1,2,38.8366,mm
L52584_2026-05-05_21ac,6,100,Set2,1,38.8112,mm
L52584_2026-05-05_21ac,6,100,Set2,2,38.8366,mm
L52584_2026-05-05_21ac,7,120,Set1,1,38.7604,mm
L52584_2026-05-05_21ac,7,120,Set1,2,38.7858,mm
L52584_2026-05-05_21ac,7,120,Set2,1,38.735,mm
L52584_2026-05-05_21ac,7,120,Set2,2,38.7604,mm
L52584_2026-05-05_21ac,8,140,Set1,1,38.735,mm
L52584_2026-05-05_21ac,8,140,Set1,2,38.7604,mm
L52584_2026-05-05_21ac,8,140,Set2,1,38.6842,mm
L52584_2026-05-05_21ac,8,140,Set2,2,38.7096,mm
