run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L52981_2025-01-03_e40b,1,0,Set1,1,50.8508,mm
L52981_2025-01-03_e40b,1,0,Set1,2,51.0794,mm
L52981_2025-01-03_e40b,1,0,Set2,1,50.1904,mm
L52981_2025-01-03_e40b,1,0,Set2,2,50.2666,mm
L52981_2025-01-03_e40b,2,30,Set1,1,49.911,mm
L52981_2025-01-03_e40b,2,30,Set1,2,49.9618,mm
L52981_2025-01-03_e40b,2,30,Set2,1,49.8856,mm
L52981_2025-01-03_e40b,2,30,Set2,2,49.8856,mm
L52981_2025-01-03_e40b,3,60,Set1,1,49.6824,mm
L52981_2025-01-03_e40b,3,60,Set1,2,49.7078,mm
L52981_2025-01-03_e40b,3,60,Set2,1,49.6062,mm
L52981_2025-01-03_e40b,3,60,Set2,2,49.6062,mm
L52981_2025-01-03_e40b,4,90,Set1,1,49.4792,mm
L52981_2025-01-03_e40b,4,90,Set1,2,49.5046,mm
L52981_2025-01-03_e40b,4,90,Set2,1,49.4538,mm
L52981_2025-01-03_e40b,4,90,Set2,2,49.5046,mm
L52981_2025-01-03_e40b,5,120,Set1,1,49.3776,mm
L52981_2025-01-03_e40b,5,120,Set1,2,49.3776,mm
L52981_2025-01-03_e40b,5,120,Set2,1,49.3522,mm
L52981_2025-01-03_e40b,5,120,Set2,2,49.3776,mm
L52981_2025-01-03_e40b,6,150,Set1,1,49.276,mm
L52981_2025-01-03_e40b,6,150,Set1,2,49.276,mm
L52981_2025-01-03_e40b,6,150,Set2,1,49.2506,mm
L52981_2025-01-03_e40b,6,150,Set2,2,49.2506,mm
L52981_2025-01-03_e40b,7,180,Set1,1,49.149,mm
L52981_2025-01-03_e40b,7,180,Set1,2,49.149,mm
L52981_2025-01-03_e40b,7,180,Set2,1,49.1236,mm
L52981_2025-01-03_e40b,7,180,Set2,2,49.149,mm
