run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L52984_2024-08-30_1cc4,1,0,Set1,1,50.2412,mm
L52984_2024-08-30_1cc4,1,0,Set1,2,50.1904,mm
L52984_2024-08-30_1cc4,1,0,Set2,1,50.0126,mm
L52984_2024-08-30_1cc4,1,0,Set2,2,49.8856,mm
L52984_2024-08-30_1cc4,2,30,Set1,1,49.53,mm
L52984_2024-08-30_1cc4,2,30,Set1,2,49.4792,mm
L52984_2024-08-30_1cc4,2,30,Set2,1,49.53,mm
L52984_2024-08-30_1cc4,2,30,Set2,2,49.4538,mm
L52984_2024-08-30_1cc4,3,60,Set1,1,49.3014,mm
L52984_2024-08-30_1cc4,3,60,Set1,2,49.2506,mm
L52984_2024-08-30_1cc4,3,60,Set2,1,49.3268,mm
L52984_2024-08-30_1cc4,3,60,Set2,2,49.2506,mm
L52984_2024-08-30_1cc4,4,90,Set1,1,49.1236,mm
L52984_2024-08-30_1cc4,4,90,Set1,2,49.0728,mm
L52984_2024-08-30_1cc4,4,90,Set2,1,49.0982,mm
L52984_2024-08-30_1cc4,4,90,Set2,2,49.0474,mm
L52984_2024-08-30_1cc4,5,120,Set1,1,49.022,mm
L52984_2024-08-30_1cc4,5,120,Set1,2,48.9458,mm
L52984_2024-08-30_1cc4,5,120,Set2,1,48.9712,mm
L52984_2024-08-30_1cc4,5,120,Set2,2,48.9458,mm
L52984_2024-08-30_1cc4,6,150,Set1,1,48.895,mm
L52984_2024-08-30_1cc4,6,150,Set1,2,48.7934,mm
L52984_2024-08-30_1cc4,6,150,Set2,1,48.895,mm
L52984_2024-08-30_1cc4,6,150,Set2,2,48.8442,mm
L52984_2024-08-30_1cc4,7,180,Set1,1,48.768,mm
L52984_2024-08-30_1cc4,7,180,Set1,2,48.7172,mm
L52984_2024-08-30_1cc4,7,180,Set2,1,48.7934,mm
L52984_2024-08-30_1cc4,7,180,Set2,2,48.7172,mm
