run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53565_2025-11-14_3dba,1,0,Set1,1,39.1668,mm
L53565_2025-11-14_3dba,1,0,Set1,2,38.989,mm
L53565_2025-11-14_3dba,1,0,Set2,1,39.0652,mm
L53565_2025-11-14_3dba,1,0,Set2,2,38.8874,mm
L53565_2025-11-14_3dba,2,20,Set1,1,38.6842,mm
L53565_2025-11-14_3dba,2,20,Set1,2,38.7096,mm
L53565_2025-11-14_3dba,2,20,Set2,1,38.7604,mm
L53565_2025-11-14_3dba,2,20,Set2,2,38.6588,mm
L53565_2025-11-14_3dba,3,40,Set1,1,38.608,mm
L53565_2025-11-14_3dba,3,40,Set1,2,38.5826,mm
L53565_2025-11-14_3dba,3,40,Set2,1,38.608,mm
L53565_2025-11-14_3dba,3,40,Set2,2,38.5318,mm
L53565_2025-11-14_3dba,4,60,Set1,1,38.4556,mm
L53565_2025-11-14_3dba,4,60,Set1,2,38.4048,mm
L53565_2025-11-14_3dba,4,60,Set2,1,38.4556,mm
L53565_2025-11-14_3dba,4,60,Set2,2,38.4048,mm
L53565_2025-11-14_3dba,5,80,Set1,1,38.4048,mm
L53565_2025-11-14_3dba,5,80,Set1,2,38.354,mm
L53565_2025-11-14_3dba,5,80,Set2,1,38.4048,mm
L53565_2025-11-14_3dba,5,80,Set2,2,38.354,mm
L53565_2025-11-14_3dba,6,100,Set1,1,38.3286,mm
L53565_2025-11-14_3dba,6,100,Set1,2,38.3032,mm
L53565_2025-11-14_3dba,6,100,Set2,1,38.3286,mm
L53565_2025-11-14_3dba,6,100,Set2,2,38.3032,mm
L53565_2025-11-14_3dba,7,120,Set1,1,38.2778,mm
L53565_2025-11-14_3dba,7,120,Set1,2,38.227,mm
L53565_2025-11-14_3dba,7,120,Set2,1,38.3032,mm
L53565_2025-11-14_3dba,7,120,Set2,2,38.2524,mm
L53565_2025-11-14_3dba,8,140,Set1,1,38.2524,mm
L53565_2025-11-14_3dba,8,140,Set1,2,38.2016,mm
L53565_2025-11-14_3dba,8,140,Set2,1,38.2524,mm
L53565_2025-11-14_3dba,8,140,Set2,2,38.2016,mm
