run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53569_2025-12-01_d8a4,1,0,Set1,1,38.7096,mm
L53569_2025-12-01_d8a4,1,0,Set1,2,38.7858,mm
L53569_2025-12-01_d8a4,1,0,Set2,1,38.7096,mm
L53569_2025-12-01_d8a4,1,0,Set2,2,38.7604,mm
L53569_2025-12-01_d8a4,2,20,Set1,1,38.5572,mm
L53569_2025-12-01_d8a4,2,20,Set1,2,38.5318,mm
L53569_2025-12-01_d8a4,2,20,Set2,1,38.5318,mm
L53569_2025-12-01_d8a4,2,20,Set2,2,38.5064,mm
L53569_2025-12-01_d8a4,3,40,Set1,1,38.3794,mm
L53569_2025-12-01_d8a4,3,40,Set1,2,38.4048,mm
L53569_2025-12-01_d8a4,3,40,Set2,1,38.3794,mm
L53569_2025-12-01_d8a4,3,40,Set2,2,38.4048,mm
L53569_2025-12-01_d8a4,4,60,Set1,1,38.2778,mm
L53569_2025-12-01_d8a4,4,60,Set1,2,38.3286,mm
L53569_2025-12-01_d8a4,4,60,Set2,1,38.2778,mm
L53569_2025-12-01_d8a4,4,60,Set2,2,38.3286,mm
L53569_2025-12-01_d8a4,5,80,Set1,1,38.227,mm
L53569_2025-12-01_d8a4,5,80,Set1,2,38.2524,mm
L53569_2025-12-01_d8a4,5,80,Set2,1,38.227,mm
L53569_2025-12-01_d8a4,5,80,Set2,2,38.227,mm
L53569_2025-12-01_d8a4,6,100,Set1,1,38.1762,mm
L53569_2025-12-01_d8a4,6,100,Set1,2,38.2016,mm
L53569_2025-12-01_d8a4,6,100,Set2,1,38.1762,mm
L53569_2025-12-01_d8a4,6,100,Set2,2,38.1762,mm
L53569_2025-12-01_d8a4,7,120,Set1,1,38.1508,mm
L53569_2025-12-01_d8a4,7,120,Set1,2,38.1508,mm
L53569_2025-12-01_d8a4,7,120,Set2,1,38.1508,mm
L53569_2025-12-01_d8a4,7,120,Set2,2,38.1254,mm
L53569_2025-12-01_d8a4,8,140,Set1,1,38.1,mm
L53569_2025-12-01_d8a4,8,140,Set1,2,38.1254,mm
L53569_2025-12-01_d8a4,8,140,Set2,1,38.1,mm
L53569_2025-12-01_d8a4,8,140,Set2,2,38.1,mm
