run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53604_2025-12-01_a413,1,0,Set1,1,38.608,mm
L53604_2025-12-01_a413,1,0,Set1,2,38.6334,mm
L53604_2025-12-01_a413,1,0,Set2,1,38.5572,mm
L53604_2025-12-01_a413,1,0,Set2,2,38.608,mm
L53604_2025-12-01_a413,2,20,Set1,1,38.4302,mm
L53604_2025-12-01_a413,2,20,Set1,2,38.4048,mm
L53604_2025-12-01_a413,2,20,Set2,1,38.4302,mm
L53604_2025-12-01_a413,2,20,Set2,2,38.4302,mm
L53604_2025-12-01_a413,3,40,Set1,1,38.3032,mm
L53604_2025-12-01_a413,3,40,Set1,2,38.3286,mm
L53604_2025-12-01_a413,3,40,Set2,1,38.3286,mm
L53604_2025-12-01_a413,3,40,Set2,2,38.354,mm
L53604_2025-12-01_a413,4,60,Set1,1,38.227,mm
L53604_2025-12-01_a413,4,60,Set1,2,38.2524,mm
L53604_2025-12-01_a413,4,60,Set2,1,38.227,mm
L53604_2025-12-01_a413,4,60,Set2,2,38.2778,mm
L53604_2025-12-01_a413,5,80,Set1,1,38.1762,mm
L53604_2025-12-01_a413,5,80,Set1,2,38.1762,mm
L53604_2025-12-01_a413,5,80,Set2,1,38.1762,mm
L53604_2025-12-01_a413,5,80,Set2,2,38.2016,mm
L53604_2025-12-01_a413,6,100,Set1,1,38.1508,mm
L53604_2025-12-01_a413,6,100,Set1,2,38.1508,mm
L53604_2025-12-01_a413,6,100,Set2,1,38.1508,mm
L53604_2025-12-01_a413,6,100,Set2,2,38.1508,mm
L53604_2025-12-01_a413,7,120,Set1,1,38.1,mm
L53604_2025-12-01_a413,7,120,Set1,2,38.1,mm
L53604_2025-12-01_a413,7,120,Set2,1,38.1,mm
L53604_2025-12-01_a413,7,120,Set2,2,38.1,mm
L53604_2025-12-01_a413,8,140,Set1,1,38.0746,mm
L53604_2025-12-01_a413,8,140,Set1,2,38.0492,mm
L53604_2025-12-01_a413,8,140,Set2,1,38.0746,mm
L53604_2025-12-01_a413,8,140,Set2,2,38.0492,mm
