run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53625_2025-11-17_d4ef,1,0,Set1,1,37.7952,mm
L53625_2025-11-17_d4ef,1,0,Set1,2,37.7952,mm
L53625_2025-11-17_d4ef,1,0,Set2,1,37.8206,mm
L53625_2025-11-17_d4ef,1,0,Set2,2,37.7698,mm
L53625_2025-11-17_d4ef,2,20,Set1,1,37.6174,mm
L53625_2025-11-17_d4ef,2,20,Set1,2,37.6682,mm
L53625_2025-11-17_d4ef,2,20,Set2,1,37.6174,mm
L53625_2025-11-17_d4ef,2,20,Set2,2,37.6428,mm
L53625_2025-11-17_d4ef,3,40,Set1,1,37.4904,mm
L53625_2025-11-17_d4ef,3,40,Set1,2,37.6174,mm
L53625_2025-11-17_d4ef,3,40,Set2,1,37.5412,mm
L53625_2025-11-17_d4ef,3,40,Set2,2,37.5412,mm
L53625_2025-11-17_d4ef,4,60,Set1,1,37.4396,mm
L53625_2025-11-17_d4ef,4,60,Set1,2,37.5158,mm
L53625_2025-11-17_d4ef,4,60,Set2,1,37.4396,mm
L53625_2025-11-17_d4ef,4,60,Set2,2,37.4904,mm
L53625_2025-11-17_d4ef,5,80,Set1,1,37.3888,mm
L53625_2025-11-17_d4ef,5,80,Set1,2,37.4396,mm
L53625_2025-11-17_d4ef,5,80,Set2,1,37.4142,mm
L53625_2025-11-17_d4ef,5,80,Set2,2,37.4396,mm
L53625_2025-11-17_d4ef,6,100,Set1,1,37.338,mm
L53625_2025-11-17_d4ef,6,100,Set1,2,37.4396,mm
L53625_2025-11-17_d4ef,6,100,Set2,1,37.3634,mm
L53625_2025-11-17_d4ef,6,100,Set2,2,37.3888,mm
L53625_2025-11-17_d4ef,7,120,Set1,1,37.3126,mm
L53625_2025-11-17_d4ef,7,120,Set1,2,37.3888,mm
L53625_2025-11-17_d4ef,7,120,Set2,1,37.338,mm
L53625_2025-11-17_d4ef,7,120,Set2,2,37.3634,mm
L53625_2025-11-17_d4ef,8,140,Set1,1,37.2618,mm
L53625_2025-11-17_d4ef,8,140,Set1,2,37.3634,mm
L53625_2025-11-17_d4ef,8,140,Set2,1,37.2872,mm
L53625_2025-11-17_d4ef,8,140,Set2,2,37.338,mm
