run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53666_2026-07-30_bde8,1,0,Set1,1,38.0492,mm
L53666_2026-07-30_bde8,1,0,Set1,2,38.0746,mm
L53666_2026-07-30_bde8,1,0,Set2,1,37.8714,mm
L53666_2026-07-30_bde8,1,0,Set2,2,37.973,mm
L53666_2026-07-30_bde8,2,20,Set1,1,37.973,mm
L53666_2026-07-30_bde8,2,20,Set1,2,38.0238,mm
L53666_2026-07-30_bde8,2,20,Set2,1,37.8714,mm
L53666_2026-07-30_bde8,2,20,Set2,2,37.8968,mm
L53666_2026-07-30_bde8,3,40,Set1,1,37.8968,mm
L53666_2026-07-30_bde8,3,40,Set1,2,37.973,mm
L53666_2026-07-30_bde8,3,40,Set2,1,37.7444,mm
L53666_2026-07-30_bde8,3,40,Set2,2,37.7952,mm
L53666_2026-07-30_bde8,4,60,Set1,1,37.8714,mm
L53666_2026-07-30_bde8,4,60,Set1,2,37.8968,mm
L53666_2026-07-30_bde8,4,60,Set2,1,37.6936,mm
L53666_2026-07-30_bde8,4,60,Set2,2,37.7444,mm
L53666_2026-07-30_bde8,5,80,Set1,1,37.8206,mm
L53666_2026-07-30_bde8,5,80,Set1,2,37.846,mm
L53666_2026-07-30_bde8,5,80,Set2,1,37.6174,mm
L53666_2026-07-30_bde8,5,80,Set2,2,37.6428,mm
L53666_2026-07-30_bde8,6,100,Set1,1,37.7698,mm
L53666_2026-07-30_bde8,6,100,Set1,2,37.7698,mm
L53666_2026-07-30_bde8,6,100,Set2,1,37.5666,mm
L53666_2026-07-30_bde8,6,100,Set2,2,37.6174,mm
L53666_2026-07-30_bde8,7,120,Set1,1,37.6682,mm
L53666_2026-07-30_bde8,7,120,Set1,2,37.6936,mm
L53666_2026-07-30_bde8,7,120,Set2,1,37.5158,mm
L53666_2026-07-30_bde8,7,120,Set2,2,37.5666,mm
L53666_2026-07-30_bde8,8,140,Set1,1,37.6174,mm
L53666_2026-07-30_bde8,8,140,Set1,2,37.6174,mm
L53666_2026-07-30_bde8,8,140,Set2,1,37.4904,mm
L53666_2026-07-30_bde8,8,140,Set2,2,37.5158,mm
