run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53676_2026-03-19_bef3,1,0,Set1,1,38.9382,mm
L53676_2026-03-19_bef3,1,0,Set1,2,38.9382,mm
L53676_2026-03-19_bef3,1,0,Set2,1,38.9382,mm
L53676_2026-03-19_bef3,1,0,Set2,2,39.0398,mm
L53676_2026-03-19_bef3,2,20,Set1,1,38.7096,mm
L53676_2026-03-19_bef3,2,20,Set1,2,38.7858,mm
L53676_2026-03-19_bef3,2,20,Set2,1,38.7096,mm
L53676_2026-03-19_bef3,2,20,Set2,2,38.735,mm
L53676_2026-03-19_bef3,3,40,Set1,1,38.608,mm
L53676_2026-03-19_bef3,3,40,Set1,2,38.7096,mm
L53676_2026-03-19_bef3,3,40,Set2,1,38.6334,mm
L53676_2026-03-19_bef3,3,40,Set2,2,38.6588,mm
L53676_2026-03-19_bef3,4,60,Set1,1,38.5318,mm
L53676_2026-03-19_bef3,4,60,Set1,2,38.6588,mm
L53676_2026-03-19_bef3,4,60,Set2,1,38.5826,mm
L53676_2026-03-19_bef3,4,60,Set2,2,38.608,mm
L53676_2026-03-19_bef3,5,80,Set1,1,38.4556,mm
L53676_2026-03-19_bef3,5,80,Set1,2,38.5826,mm
L53676_2026-03-19_bef3,5,80,Set2,1,38.5064,mm
L53676_2026-03-19_bef3,5,80,Set2,2,38.5318,mm
L53676_2026-03-19_bef3,6,100,Set1,1,38.4048,mm
L53676_2026-03-19_bef3,6,100,Set1,2,38.5318,mm
L53676_2026-03-19_bef3,6,100,Set2,1,38.4556,mm
L53676_2026-03-19_bef3,6,100,Set2,2,38.481,mm
L53676_2026-03-19_bef3,7,120,Set1,1,38.3794,mm
L53676_2026-03-19_bef3,7,120,Set1,2,38.4556,mm
L53676_2026-03-19_bef3,7,120,Set2,1,38.4048,mm
L53676_2026-03-19_bef3,7,120,Set2,2,38.4302,mm
L53676_2026-03-19_bef3,8,140,Set1,1,38.3286,mm
L53676_2026-03-19_bef3,8,140,Set1,2,38.4048,mm
L53676_2026-03-19_bef3,8,140,Set2,1,38.3794,mm
L53676_2026-03-19_bef3,8,140,Set2,2,38.4048,mm
