run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53681_2026-04-07_407f,1,0,Set1,1,38.6842,mm
L53681_2026-04-07_407f,1,0,Set1,2,38.6842,mm
L53681_2026-04-07_407f,1,0,Set2,1,38.6588,mm
L53681_2026-04-07_407f,1,0,Set2,2,38.6842,mm
L53681_2026-04-07_407f,2,20,Set1,1,38.5064,mm
L53681_2026-04-07_407f,2,20,Set1,2,38.5064,mm
L53681_2026-04-07_407f,2,20,Set2,1,38.5318,mm
L53681_2026-04-07_407f,2,20,Set2,2,38.5064,mm
L53681_2026-04-07_407f,3,40,Set1,1,38.4048,mm
L53681_2026-04-07_407f,3,40,Set1,2,38.4048,mm
L53681_2026-04-07_407f,3,40,Set2,1,38.4302,mm
L53681_2026-04-07_407f,3,40,Set2,2,38.4048,mm
L53681_2026-04-07_407f,4,60,Set1,1,38.354,mm
L53681_2026-04-07_407f,4,60,Set1,2,38.3286,mm
L53681_2026-04-07_407f,4,60,Set2,1,38.354,mm
L53681_2026-04-07_407f,4,60,Set2,2,38.3286,mm
L53681_2026-04-07_407f,5,80,Set1,1,38.3032,mm
L53681_2026-04-07_407f,5,80,Set1,2,38.2778,mm
L53681_2026-04-07_407f,5,80,Set2,1,38.3032,mm
L53681_2026-04-07_407f,5,80,Set2,2,38.2778,mm
L53681_2026-04-07_407f,6,100,Set1,1,38.227,mm
L53681_2026-04-07_407f,6,100,Set1,2,38.227,mm
L53681_2026-04-07_407f,6,100,Set2,1,38.2524,mm
L53681_2026-04-07_407f,6,100,Set2,2,38.227,mm
L53681_2026-04-07_407f,7,120,Set1,1,38.2016,mm
L53681_2026-04-07_407f,7,120,Set1,2,38.2016,mm
L53681_2026-04-07_407f,7,120,Set2,1,38.2016,mm
L53681_2026-04-07_407f,7,120,Set2,2,38.2016,mm
L53681_2026-04-07_407f,8,140,Set1,1,38.1762,mm
L53681_2026-04-07_407f,8,140,Set1,2,38.1762,mm
L53681_2026-04-07_407f,8,140,Set2,1,38.1762,mm
L53681_2026-04-07_407f,8,140,Set2,2,38.1762,mm
