run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53694_2026-03-12_7693,1,0,Set1,1,40.2336,mm
L53694_2026-03-12_7693,1,0,Set1,2,40.2336,mm
L53694_2026-03-12_7693,1,0,Set2,1,40.259,mm
L53694_2026-03-12_7693,1,0,Set2,2,40.2336,mm
L53694_2026-03-12_7693,2,20,Set1,1,40.0812,mm
L53694_2026-03-12_7693,2,20,Set1,2,40.0812,mm
L53694_2026-03-12_7693,2,20,Set2,1,40.1066,mm
L53694_2026-03-12_7693,2,20,Set2,2,40.0812,mm
L53694_2026-03-12_7693,3,40,Set1,1,39.9542,mm
L53694_2026-03-12_7693,3,40,Set1,2,39.9796,mm
L53694_2026-03-12_7693,3,40,Set2,1,39.9796,mm
L53694_2026-03-12_7693,3,40,Set2,2,39.9796,mm
L53694_2026-03-12_7693,4,60,Set1,1,39.878,mm
L53694_2026-03-12_7693,4,60,Set1,2,39.9034,mm
L53694_2026-03-12_7693,4,60,Set2,1,39.878,mm
L53694_2026-03-12_7693,4,60,Set2,2,39.878,mm
L53694_2026-03-12_7693,5,80,Set1,1,39.8018,mm
L53694_2026-03-12_7693,5,80,Set1,2,39.8018,mm
L53694_2026-03-12_7693,5,80,Set2,1,39.8018,mm
L53694_2026-03-12_7693,5,80,Set2,2,39.8018,mm
L53694_2026-03-12_7693,6,100,Set1,1,39.751,mm
L53694_2026-03-12_7693,6,100,Set1,2,39.7256,mm
L53694_2026-03-12_7693,6,100,Set2,1,39.751,mm
L53694_2026-03-12_7693,6,100,Set2,2,39.7764,mm
L53694_2026-03-12_7693,7,120,Set1,1,39.7002,mm
L53694_2026-03-12_7693,7,120,Set1,2,39.6748,mm
L53694_2026-03-12_7693,7,120,Set2,1,39.7002,mm
L53694_2026-03-12_7693,7,120,Set2,2,39.7002,mm
L53694_2026-03-12_7693,8,140,Set1,1,39.6494,mm
L53694_2026-03-12_7693,8,140,Set1,2,39.624,mm
L53694_2026-03-12_7693,8,140,Set2,1,39.6494,mm
L53694_2026-03-12_7693,8,140,Set2,2,39.6494,mm
