run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53804_2026-07-07_8d0b,1,0,Set1,1,37.4904,mm
L53804_2026-07-07_8d0b,1,0,Set1,2,37.5158,mm
L53804_2026-07-07_8d0b,1,0,Set2,1,37.465,mm
L53804_2026-07-07_8d0b,1,0,Set2,2,37.4904,mm
L53804_2026-07-07_8d0b,2,20,Set1,1,37.3634,mm
L53804_2026-07-07_8d0b,2,20,Set1,2,37.338,mm
L53804_2026-07-07_8d0b,2,20,Set2,1,37.338,mm
L53804_2026-07-07_8d0b,2,20,Set2,2,37.338,mm
L53804_2026-07-07_8d0b,3,40,Set1,1,37.2618,mm
L53804_2026-07-07_8d0b,3,40,Set1,2,37.2618,mm
L53804_2026-07-07_8d0b,3,40,Set2,1,37.2872,mm
L53804_2026-07-07_8d0b,3,40,Set2,2,37.2872,mm
L53804_2026-07-07_8d0b,4,60,Set1,1,37.211,mm
L53804_2026-07-07_8d0b,4,60,Set1,2,37.1602,mm
L53804_2026-07-07_8d0b,4,60,Set2,1,37.211,mm
L53804_2026-07-07_8d0b,4,60,Set2,2,37.211,mm
L53804_2026-07-07_8d0b,5,80,Set1,1,37.1602,mm
L53804_2026-07-07_8d0b,5,80,Set1,2,37.1602,mm
L53804_2026-07-07_8d0b,5,80,Set2,1,37.1602,mm
L53804_2026-07-07_8d0b,5,80,Set2,2,37.1602,mm
L53804_2026-07-07_8d0b,6,100,Set1,1,37.1348,mm
L53804_2026-07-07_8d0b,6,100,Set1,2,37.1348,mm
L53804_2026-07-07_8d0b,6,100,Set2,1,37.1348,mm
L53804_2026-07-07_8d0b,6,100,Set2,2,37.1348,mm
L53804_2026-07-07_8d0b,7,120,Set1,1,37.1094,mm
L53804_2026-07-07_8d0b,7,120,Set1,2,37.1094,mm
L53804_2026-07-07_8d0b,7,120,Set2,1,37.1094,mm
L53804_2026-07-07_8d0b,7,120,Set2,2,37.1094,mm
L53804_2026-07-07_8d0b,8,140,Set1,1,37.084,mm
L53804_2026-07-07_8d0b,8,140,Set1,2,37.084,mm
L53804_2026-07-07_8d0b,8,140,Set2,1,37.084,mm
L53804_2026-07-07_8d0b,8,140,Set2,2,37.084,mm
