run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53809_2026-05-14_d9b8,1,0,Set1,1,37.6936,mm
L53809_2026-05-14_d9b8,1,0,Set1,2,37.6936,mm
L53809_2026-05-14_d9b8,1,0,Set2,1,37.6428,mm
L53809_2026-05-14_d9b8,1,0,Set2,2,37.6682,mm
L53809_2026-05-14_d9b8,2,20,Set1,1,37.465,mm
L53809_2026-05-14_d9b8,2,20,Set1,2,37.465,mm
L53809_2026-05-14_d9b8,2,20,Set2,1,37.465,mm
L53809_2026-05-14_d9b8,2,20,Set2,2,37.465,mm
L53809_2026-05-14_d9b8,3,40,Set1,1,37.338,mm
L53809_2026-05-14_d9b8,3,40,Set1,2,37.3634,mm
L53809_2026-05-14_d9b8,3,40,Set2,1,37.3634,mm
L53809_2026-05-14_d9b8,3,40,Set2,2,37.3634,mm
L53809_2026-05-14_d9b8,4,60,Set1,1,37.2618,mm
L53809_2026-05-14_d9b8,4,60,Set1,2,37.2618,mm
L53809_2026-05-14_d9b8,4,60,Set2,1,37.2618,mm
L53809_2026-05-14_d9b8,4,60,Set2,2,37.2618,mm
L53809_2026-05-14_d9b8,5,80,Set1,1,37.1602,mm
L53809_2026-05-14_d9b8,5,80,Set1,2,37.1602,mm
L53809_2026-05-14_d9b8,5,80,Set2,1,37.1602,mm
L53809_2026-05-14_d9b8,5,80,Set2,2,37.1856,mm
L53809_2026-05-14_d9b8,6,100,Set1,1,37.1094,mm
L53809_2026-05-14_d9b8,6,100,Set1,2,37.1094,mm
L53809_2026-05-14_d9b8,6,100,Set2,1,37.1094,mm
L53809_2026-05-14_d9b8,6,100,Set2,2,37.1094,mm
L53809_2026-05-14_d9b8,7,120,Set1,1,37.084,mm
L53809_2026-05-14_d9b8,7,120,Set1,2,37.084,mm
L53809_2026-05-14_d9b8,7,120,Set2,1,37.084,mm
L53809_2026-05-14_d9b8,7,120,Set2,2,37.084,mm
L53809_2026-05-14_d9b8,8,140,Set1,1,37.0586,mm
L53809_2026-05-14_d9b8,8,140,Set1,2,37.0586,mm
L53809_2026-05-14_d9b8,8,140,Set2,1,37.0586,mm
L53809_2026-05-14_d9b8,8,140,Set2,2,37.0586,mm
