run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
MA43002_2026-06-22_bd96,1,0,Set1,1,40.83,mm
MA43002_2026-06-22_bd96,1,0,Set1,2,40.79,mm
MA43002_2026-06-22_bd96,1,0,Set2,1,40.83,mm
MA43002_2026-06-22_bd96,1,0,Set2,2,40.79,mm
MA43002_2026-06-22_bd96,2,20,Set1,1,40.58,mm
MA43002_2026-06-22_bd96,2,20,Set1,2,40.58,mm
MA43002_2026-06-22_bd96,2,20,Set2,1,40.58,mm
MA43002_2026-06-22_bd96,2,20,Set2,2,40.58,mm
MA43002_2026-06-22_bd96,3,40,Set1,1,40.41,mm
MA43002_2026-06-22_bd96,3,40,Set1,2,40.46,mm
MA43002_2026-06-22_bd96,3,40,Set2,1,40.41,mm
MA43002_2026-06-22_bd96,3,40,Set2,2,40.46,mm
MA43002_2026-06-22_bd96,4,60,Set1,1,40.4,mm
MA43002_2026-06-22_bd96,4,60,Set1,2,40.4,mm
MA43002_2026-06-22_bd96,4,60,Set2,1,40.4,mm
MA43002_2026-06-22_bd96,4,60,Set2,2,40.4,mm
MA43002_2026-06-22_bd96,5,80,Set1,1,40.35,mm
MA43002_2026-06-22_bd96,5,80,Set1,2,40.35,mm
MA43002_2026-06-22_bd96,5,80,Set2,1,40.35,mm
MA43002_2026-06-22_bd96,5,80,Set2,2,40.35,mm
MA43002_2026-06-22_bd96,6,100,Set1,1,40.3,mm
MA43002_2026-06-22_bd96,6,100,Set1,2,40.29,mm
MA43002_2026-06-22_bd96,6,100,Set2,1,40.3,mm
MA43002_2026-06-22_bd96,6,100,Set2,2,40.29,mm
MA43002_2026-06-22_bd96,7,120,Set1,1,40.25,mm
MA43002_2026-06-22_bd96,7,120,Set1,2,40.24,mm
MA43002_2026-06-22_bd96,7,120,Set2,1,40.25,mm
MA43002_2026-06-22_bd96,7,120,Set2,2,40.24,mm
MA43002_2026-06-22_bd96,8,140,Set1,1,40.2,mm
MA43002_2026-06-22_bd96,8,140,Set1,2,40.19,mm
MA43002_2026-06-22_bd96,8,140,Set2,1,40.2,mm
MA43002_2026-06-22_bd96,8,140,Set2,2,40.19,mm
