run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
MA43124_2026-05-05_74a5,1,0,Set1,1,28.77,mm
MA43124_2026-05-05_74a5,1,0,Set1,2,28.74,mm
MA43124_2026-05-05_74a5,1,0,Set2,1,28.77,mm
MA43124_2026-05-05_74a5,1,0,Set2,2,28.74,mm
MA43124_2026-05-05_74a5,2,10,Set1,1,28.51,mm
MA43124_2026-05-05_74a5,2,10,Set1,2,28.53,mm
MA43124_2026-05-05_74a5,2,10,Set2,1,28.51,mm
MA43124_2026-05-05_74a5,2,10,Set2,2,28.53,mm
MA43124_2026-05-05_74a5,3,20,Set1,1,28.41,mm
MA43124_2026-05-05_74a5,3,20,Set1,2,28.43,mm
MA43124_2026-05-05_74a5,3,20,Set2,1,28.41,mm
MA43124_2026-05-05_74a5,3,20,Set2,2,28.43,mm
MA43124_2026-05-05_74a5,4,30,Set1,1,28.32,mm
MA43124_2026-05-05_74a5,4,30,Set1,2,28.34,mm
MA43124_2026-05-05_74a5,4,30,Set2,1,28.32,mm
MA43124_2026-05-05_74a5,4,30,Set2,2,28.34,mm
MA43124_2026-05-05_74a5,5,40,Set1,1,28.26,mm
MA43124_2026-05-05_74a5,5,40,Set1,2,28.28,mm
MA43124_2026-05-05_74a5,5,40,Set2,1,28.26,mm
MA43124_2026-05-05_74a5,5,40,Set2,2,28.28,mm
MA43124_2026-05-05_74a5,6,50,Set1,1,28.21,mm
MA43124_2026-05-05_74a5,6,50,Set1,2,28.23,mm
MA43124_2026-05-05_74a5,6,50,Set2,1,28.21,mm
MA43124_2026-05-05_74a5,6,50,Set2,2,28.23,mm
MA43124_2026-05-05_74a5,7,60,Set1,1,28.16,mm
MA43124_2026-05-05_74a5,7,60,Set1,2,28.18,mm
MA43124_2026-05-05_74a5,7,60,Set2,1,28.16,mm
MA43124_2026-05-05_74a5,7,60,Set2,2,28.18,mm
