run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
MA43201_2026-05-06_7efb,1,0,Set1,1,38.28,mm
MA43201_2026-05-06_7efb,1,0,Set1,2,38.26,mm
MA43201_2026-05-06_7efb,1,0,Set2,1,38.28,mm
MA43201_2026-05-06_7efb,1,0,Set2,2,38.26,mm
MA43201_2026-05-06_7efb,2,20,Set1,1,38.06,mm
MA43201_2026-05-06_7efb,2,20,Set1,2,38.06,mm
MA43201_2026-05-06_7efb,2,20,Set2,1,38.06,mm
MA43201_2026-05-06_7efb,2,20,Set2,2,38.06,mm
MA43201_2026-05-06_7efb,3,40,Set1,1,37.96,mm
MA43201_2026-05-06_7efb,3,40,Set1,2,37.96,mm
MA43201_2026-05-06_7efb,3,40,Set2,1,37.96,mm
MA43201_2026-05-06_7efb,3,40,Set2,2,37.96,mm
MA43201_2026-05-06_7efb,4,60,Set1,1,37.88,mm
MA43201_2026-05-06_7efb,4,60,Set1,2,37.88,mm
MA43201_2026-05-06_7efb,4,60,Set2,1,37.88,mm
MA43201_2026-05-06_7efb,4,60,Set2,2,37.88,mm
MA43201_2026-05-06_7efb,5,80,Set1,1,37.82,mm
MA43201_2026-05-06_7efb,5,80,Set1,2,37.82,mm
MA43201_2026-05-06_7efb,5,80,Set2,1,37.82,mm
MA43201_2026-05-06_7efb,5,80,Set2,2,37.82,mm
MA43201_2026-05-06_7efb,6,100,Set1,1,37.78,mm
MA43201_2026-05-06_7efb,6,100,Set1,2,37.78,mm
MA43201_2026-05-06_7efb,6,100,Set2,1,37.78,mm
MA43201_2026-05-06_7efb,6,100,Set2,2,37.78,mm
MA43201_2026-05-06_7efb,7,120,Set1,1,37.74,mm
MA43201_2026-05-06_7efb,7,120,Set1,2,37.74,mm
MA43201_2026-05-06_7efb,7,120,Set2,1,37.74,mm
MA43201_2026-05-06_7efb,7,120,Set2,2,37.74,mm
MA43201_2026-05-06_7efb,8,140,Set1,1,37.71,mm
MA43201_2026-05-06_7efb,8,140,Set1,2,37.71,mm
MA43201_2026-05-06_7efb,8,140,Set2,1,37.71,mm
MA43201_2026-05-06_7efb,8,140,Set2,2,37.71,mm
