run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
N2717-1_2026-06-16_6561,1,0,Set1,1,43.04,mm
N2717-1_2026-06-16_6561,1,0,Set1,2,43.05,mm
N2717-1_2026-06-16_6561,1,0,Set2,1,43.04,mm
N2717-1_2026-06-16_6561,1,0,Set2,2,43.05,mm
N2717-1_2026-06-16_6561,2,20,Set1,1,41.49,mm
N2717-1_2026-06-16_6561,2,20,Set1,2,41.5,mm
N2717-1_2026-06-16_6561,2,20,Set2,1,41.49,mm
N2717-1_2026-06-16_6561,2,20,Set2,2,41.5,mm
N2717-1_2026-06-16_6561,3,40,Set1,1,41.39,mm
N2717-1_2026-06-16_6561,3,40,Set1,2,41.39,mm
N2717-1_2026-06-16_6561,3,40,Set2,1,41.39,mm
N2717-1_2026-06-16_6561,3,40,Set2,2,41.39,mm
N2717-1_2026-06-16_6561,4,60,Set1,1,41.3,mm
N2717-1_2026-06-16_6561,4,60,Set1,2,41.3,mm
N2717-1_2026-06-16_6561,4,60,Set2,1,41.3,mm
N2717-1_2026-06-16_6561,4,60,Set2,2,41.3,mm
N2717-1_2026-06-16_6561,5,80,Set1,1,41.2,mm
N2717-1_2026-06-16_6561,5,80,Set1,2,41.2,mm
N2717-1_2026-06-16_6561,5,80,Set2,1,41.2,mm
N2717-1_2026-06-16_6561,5,80,Set2,2,41.2,mm
N2717-1_2026-06-16_6561,6,100,Set1,1,41.16,mm
N2717-1_2026-06-16_6561,6,100,Set1,2,41.15,mm
N2717-1_2026-06-16_6561,6,100,Set2,1,41.16,mm
N2717-1_2026-06-16_6561,6,100,Set2,2,41.15,mm
N2717-1_2026-06-16_6561,7,120,Set1,1,41.12,mm
N2717-1_2026-06-16_6561,7,120,Set1,2,41.1,mm
N2717-1_2026-06-16_6561,7,120,Set2,1,41.12,mm
N2717-1_2026-06-16_6561,7,120,Set2,2,41.1,mm
N2717-1_2026-06-16_6561,8,140,Set1,1,41.07,mm
N2717-1_2026-06-16_6561,8,140,Set1,2,41.07,mm
N2717-1_2026-06-16_6561,8,140,Set2,1,41.07,mm
N2717-1_2026-06-16_6561,8,140,Set2,2,41.07,mm
