run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
PE35982_2026-05-14_d9ba,1,0,Set1,1,41.71,mm
PE35982_2026-05-14_d9ba,1,0,Set1,2,41.74,mm
PE35982_2026-05-14_d9ba,1,0,Set2,1,41.71,mm
PE35982_2026-05-14_d9ba,1,0,Set2,2,41.74,mm
PE35982_2026-05-14_d9ba,2,20,Set1,1,41.43,mm
PE35982_2026-05-14_d9ba,2,20,Set1,2,41.56,mm
PE35982_2026-05-14_d9ba,2,20,Set2,1,41.43,mm
PE35982_2026-05-14_d9ba,2,20,Set2,2,41.56,mm
PE35982_2026-05-14_d9ba,3,40,Set1,1,41.37,mm
PE35982_2026-05-14_d9ba,3,40,Set1,2,41.44,mm
PE35982_2026-05-14_d9ba,3,40,Set2,1,41.37,mm
PE35982_2026-05-14_d9ba,3,40,Set2,2,41.44,mm
PE35982_2026-05-14_d9ba,4,60,Set1,1,41.18,mm
PE35982_2026-05-14_d9ba,4,60,Set1,2,41.29,mm
PE35982_2026-05-14_d9ba,4,60,Set2,1,41.18,mm
PE35982_2026-05-14_d9ba,4,60,Set2,2,41.29,mm
PE35982_2026-05-14_d9ba,5,80,Set1,1,41.15,mm
PE35982_2026-05-14_d9ba,5,80,Set1,2,41.24,mm
PE35982_2026-05-14_d9ba,5,80,Set2,1,41.15,mm
PE35982_2026-05-14_d9ba,5,80,Set2,2,41.24,mm
PE35982_2026-05-14_d9ba,6,100,Set1,1,41.1,mm
PE35982_2026-05-14_d9ba,6,100,Set1,2,41.21,mm
PE35982_2026-05-14_d9ba,6,100,Set2,1,41.1,mm
PE35982_2026-05-14_d9ba,6,100,Set2,2,41.21,mm
PE35982_2026-05-14_d9ba,7,120,Set1,1,41.09,mm
PE35982_2026-05-14_d9ba,7,120,Set1,2,41.17,mm
PE35982_2026-05-14_d9ba,7,120,Set2,1,41.09,mm
PE35982_2026-05-14_d9ba,7,120,Set2,2,41.17,mm
PE35982_2026-05-14_d9ba,8,140,Set1,1,41.05,mm
PE35982_2026-05-14_d9ba,8,140,Set1,2,41.09,mm
PE35982_2026-05-14_d9ba,8,140,Set2,1,41.05,mm
PE35982_2026-05-14_d9ba,8,140,Set2,2,41.09,mm
