run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
PE35982_2026-05-15_f880,1,0,Set1,1,41.67,mm
PE35982_2026-05-15_f880,1,0,Set1,2,41.72,mm
PE35982_2026-05-15_f880,1,0,Set2,1,41.67,mm
PE35982_2026-05-15_f880,1,0,Set2,2,41.72,mm
PE35982_2026-05-15_f880,2,20,Set1,1,41.49,mm
PE35982_2026-05-15_f880,2,20,Set1,2,41.51,mm
PE35982_2026-05-15_f880,2,20,Set2,1,41.49,mm
PE35982_2026-05-15_f880,2,20,Set2,2,41.51,mm
PE35982_2026-05-15_f880,3,40,Set1,1,41.39,mm
PE35982_2026-05-15_f880,3,40,Set1,2,41.41,mm
PE35982_2026-05-15_f880,3,40,Set2,1,41.39,mm
PE35982_2026-05-15_f880,3,40,Set2,2,41.41,mm
PE35982_2026-05-15_f880,4,60,Set1,1,41.32,mm
PE35982_2026-05-15_f880,4,60,Set1,2,41.34,mm
PE35982_2026-05-15_f880,4,60,Set2,1,41.32,mm
PE35982_2026-05-15_f880,4,60,Set2,2,41.34,mm
PE35982_2026-05-15_f880,5,80,Set1,1,41.27,mm
PE35982_2026-05-15_f880,5,80,Set1,2,41.28,mm
PE35982_2026-05-15_f880,5,80,Set2,1,41.27,mm
PE35982_2026-05-15_f880,5,80,Set2,2,41.28,mm
PE35982_2026-05-15_f880,6,100,Set1,1,41.22,mm
PE35982_2026-05-15_f880,6,100,Set1,2,41.24,mm
PE35982_2026-05-15_f880,6,100,Set2,1,41.22,mm
PE35982_2026-05-15_f880,6,100,Set2,2,41.24,mm
PE35982_2026-05-15_f880,7,120,Set1,1,41.18,mm
PE35982_2026-05-15_f880,7,120,Set1,2,41.19,mm
PE35982_2026-05-15_f880,7,120,Set2,1,41.18,mm
PE35982_2026-05-15_f880,7,120,Set2,2,41.19,mm
PE35982_2026-05-15_f880,8,140,Set1,1,41.14,mm
PE35982_2026-05-15_f880,8,140,Set1,2,41.16,mm
PE35982_2026-05-15_f880,8,140,Set2,1,41.14,mm
PE35982_2026-05-15_f880,8,140,Set2,2,41.16,mm
