run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
TL1917_2026-04-23_53a8,1,0,Set1,1,52.45,mm
TL1917_2026-04-23_53a8,1,0,Set1,2,52.45,mm
TL1917_2026-04-23_53a8,1,0,Set2,1,52.45,mm
TL1917_2026-04-23_53a8,1,0,Set2,2,52.45,mm
TL1917_2026-04-23_53a8,2,30,Set1,1,51.89,mm
TL1917_2026-04-23_53a8,2,30,Set1,2,51.88,mm
TL1917_2026-04-23_53a8,2,30,Set2,1,51.89,mm
TL1917_2026-04-23_53a8,2,30,Set2,2,51.88,mm
TL1917_2026-04-23_53a8,3,60,Set1,1,51.75,mm
TL1917_2026-04-23_53a8,3,60,Set1,2,51.75,mm
TL1917_2026-04-23_53a8,3,60,Set2,1,51.75,mm
TL1917_2026-04-23_53a8,3,60,Set2,2,51.75,mm
TL1917_2026-04-23_53a8,4,90,Set1,1,51.55,mm
TL1917_2026-04-23_53a8,4,90,Set1,2,51.55,mm
TL1917_2026-04-23_53a8,4,90,Set2,1,51.55,mm
TL1917_2026-04-23_53a8,4,90,Set2,2,51.55,mm
TL1917_2026-04-23_53a8,5,120,Set1,1,51.44,mm
TL1917_2026-04-23_53a8,5,120,Set1,2,51.44,mm
TL1917_2026-04-23_53a8,5,120,Set2,1,51.44,mm
TL1917_2026-04-23_53a8,5,120,Set2,2,51.44,mm
TL1917_2026-04-23_53a8,6,150,Set1,1,51.33,mm
TL1917_2026-04-23_53a8,6,150,Set1,2,51.33,mm
TL1917_2026-04-23_53a8,6,150,Set2,1,51.33,mm
TL1917_2026-04-23_53a8,6,150,Set2,2,51.33,mm
TL1917_2026-04-23_53a8,7,180,Set1,1,51.25,mm
TL1917_2026-04-23_53a8,7,180,Set1,2,51.25,mm
TL1917_2026-04-23_53a8,7,180,Set2,1,51.25,mm
TL1917_2026-04-23_53a8,7,180,Set2,2,51.25,mm
