run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
TL1919_2026-04-29_2bea,1,0,Set1,1,24.39,mm
TL1919_2026-04-29_2bea,1,0,Set1,2,24.4,mm
TL1919_2026-04-29_2bea,1,0,Set2,1,24.39,mm
TL1919_2026-04-29_2bea,1,0,Set2,2,24.4,mm
TL1919_2026-04-29_2bea,2,10,Set1,1,24.15,mm
TL1919_2026-04-29_2bea,2,10,Set1,2,24.17,mm
TL1919_2026-04-29_2bea,2,10,Set2,1,24.15,mm
TL1919_2026-04-29_2bea,2,10,Set2,2,24.17,mm
TL1919_2026-04-29_2bea,3,20,Set1,1,24.06,mm
TL1919_2026-04-29_2bea,3,20,Set1,2,24.09,mm
TL1919_2026-04-29_2bea,3,20,Set2,1,24.06,mm
TL1919_2026-04-29_2bea,3,20,Set2,2,24.09,mm
TL1919_2026-04-29_2bea,4,30,Set1,1,23.99,mm
TL1919_2026-04-29_2bea,4,30,Set1,2,24.02,mm
TL1919_2026-04-29_2bea,4,30,Set2,1,23.99,mm
TL1919_2026-04-29_2bea,4,30,Set2,2,24.02,mm
TL1919_2026-04-29_2bea,5,40,Set1,1,23.94,mm
TL1919_2026-04-29_2bea,5,40,Set1,2,23.97,mm
TL1919_2026-04-29_2bea,5,40,Set2,1,23.94,mm
TL1919_2026-04-29_2bea,5,40,Set2,2,23.97,mm
TL1919_2026-04-29_2bea,6,50,Set1,1,23.9,mm
TL1919_2026-04-29_2bea,6,50,Set1,2,23.93,mm
TL1919_2026-04-29_2bea,6,50,Set2,1,23.9,mm
TL1919_2026-04-29_2bea,6,50,Set2,2,23.93,mm
TL1919_2026-04-29_2bea,7,60,Set1,1,23.87,mm
TL1919_2026-04-29_2bea,7,60,Set1,2,23.9,mm
TL1919_2026-04-29_2bea,7,60,Set2,1,23.87,mm
TL1919_2026-04-29_2bea,7,60,Set2,2,23.9,mm
