run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
TL1930_2026-05-14_b664,1,0,Set1,1,32.69,mm
TL1930_2026-05-14_b664,1,0,Set1,2,32.7,mm
TL1930_2026-05-14_b664,1,0,Set2,1,32.69,mm
TL1930_2026-05-14_b664,1,0,Set2,2,32.7,mm
TL1930_2026-05-14_b664,2,10,Set1,1,32.44,mm
TL1930_2026-05-14_b664,2,10,Set1,2,32.45,mm
TL1930_2026-05-14_b664,2,10,Set2,1,32.44,mm
TL1930_2026-05-14_b664,2,10,Set2,2,32.45,mm
TL1930_2026-05-14_b664,3,20,Set1,1,32.3,mm
TL1930_2026-05-14_b664,3,20,Set1,2,32.32,mm
TL1930_2026-05-14_b664,3,20,Set2,1,32.3,mm
TL1930_2026-05-14_b664,3,20,Set2,2,32.32,mm
TL1930_2026-05-14_b664,4,30,Set1,1,32.2,mm
TL1930_2026-05-14_b664,4,30,Set1,2,32.22,mm
TL1930_2026-05-14_b664,4,30,Set2,1,32.2,mm
TL1930_2026-05-14_b664,4,30,Set2,2,32.22,mm
TL1930_2026-05-14_b664,5,40,Set1,1,32.13,mm
TL1930_2026-05-14_b664,5,40,Set1,2,32.15,mm
TL1930_2026-05-14_b664,5,40,Set2,1,32.13,mm
TL1930_2026-05-14_b664,5,40,Set2,2,32.15,mm
TL1930_2026-05-14_b664,6,50,Set1,1,32.06,mm
TL1930_2026-05-14_b664,6,50,Set1,2,32.08,mm
TL1930_2026-05-14_b664,6,50,Set2,1,32.06,mm
TL1930_2026-05-14_b664,6,50,Set2,2,32.08,mm
TL1930_2026-05-14_b664,7,60,Set1,1,32,mm
TL1930_2026-05-14_b664,7,60,Set1,2,32.02,mm
TL1930_2026-05-14_b664,7,60,Set2,1,32,mm
TL1930_2026-05-14_b664,7,60,Set2,2,32.02,mm
TL1930_2026-05-14_b664,8,70,Set1,1,31.94,mm
TL1930_2026-05-14_b664,8,70,Set1,2,31.96,mm
TL1930_2026-05-14_b664,8,70,Set2,1,31.94,mm
TL1930_2026-05-14_b664,8,70,Set2,2,31.96,mm
TL1930_2026-05-14_b664,9,80,Set1,1,31.89,mm
TL1930_2026-05-14_b664,9,80,Set1,2,31.91,mm
TL1930_2026-05-14_b664,9,80,Set2,1,31.89,mm
TL1930_2026-05-14_b664,9,80,Set2,2,31.91,mm
