run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
20994_2024-09-06_62c8,1,0,Set1,1,1.636,in
20994_2024-09-06_62c8,1,0,Set1,2,1.635,in
20994_2024-09-06_62c8,1,0,Set2,1,1.634,in
20994_2024-09-06_62c8,1,0,Set2,2,1.634,in
20994_2024-09-06_62c8,2,20,Set1,1,1.634,in
20994_2024-09-06_62c8,2,20,Set1,2,1.634,in
20994_2024-09-06_62c8,2,20,Set2,1,1.634,in
20994_2024-09-06_62c8,2,20,Set2,2,1.633,in
20994_2024-09-06_62c8,3,40,Set1,1,1.631,in
20994_2024-09-06_62c8,3,40,Set1,2,1.631,in
20994_2024-09-06_62c8,3,40,Set2,1,1.632,in
20994_2024-09-06_62c8,3,40,Set2,2,1.63,in
20994_2024-09-06_62c8,4,60,Set1,1,1.627,in
20994_2024-09-06_62c8,4,60,Set1,2,1.626,in
20994_2024-09-06_62c8,4,60,Set2,1,1.628,in
20994_2024-09-06_62c8,4,60,Set2,2,1.626,in
20994_2024-09-06_62c8,5,80,Set1,1,1.625,in
20994_2024-09-06_62c8,5,80,Set1,2,1.624,in
20994_2024-09-06_62c8,5,80,Set2,1,1.625,in
20994_2024-09-06_62c8,5,80,Set2,2,1.623,in
20994_2024-09-06_62c8,6,100,Set1,1,1.623,in
20994_2024-09-06_62c8,6,100,Set1,2,1.622,in
20994_2024-09-06_62c8,6,100,Set2,1,1.623,in
20994_2024-09-06_62c8,6,100,Set2,2,1.621,in
20994_2024-09-06_62c8,7,120,Set1,1,1.62,in
20994_2024-09-06_62c8,7,120,Set1,2,1.619,in
20994_2024-09-06_62c8,7,120,Set2,1,1.62,in
20994_2024-09-06_62c8,7,120,Set2,2,1.619,in
20994_2024-09-06_62c8,8,140,Set1,1,1.619,in
20994_2024-09-06_62c8,8,140,Set1,2,1.618,in
20994_2024-09-06_62c8,8,140,Set2,1,1.618,in
20994_2024-09-06_62c8,8,140,Set2,2,1.617,in
