run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
23729_2026-01-13_3ca8,1,0,Set1,1,1.7,in
23729_2026-01-13_3ca8,1,0,Set1,2,1.703,in
23729_2026-01-13_3ca8,1,0,Set2,1,1.709,in
23729_2026-01-13_3ca8,1,0,Set2,2,1.712,in
23729_2026-01-13_3ca8,2,20,Set1,1,1.69,in
23729_2026-01-13_3ca8,2,20,Set1,2,1.687,in
23729_2026-01-13_3ca8,2,20,Set2,1,1.692,in
23729_2026-01-13_3ca8,2,20,Set2,2,1.69,in
23729_2026-01-13_3ca8,3,40,Set1,1,1.687,in
23729_2026-01-13_3ca8,3,40,Set1,2,1.685,in
23729_2026-01-13_3ca8,3,40,Set2,1,1.683,in
23729_2026-01-13_3ca8,3,40,Set2,2,1.683,in
23729_2026-01-13_3ca8,4,60,Set1,1,1.683,in
23729_2026-01-13_3ca8,4,60,Set1,2,1.682,in
23729_2026-01-13_3ca8,4,60,Set2,1,1.681,in
23729_2026-01-13_3ca8,4,60,Set2,2,1.681,in
23729_2026-01-13_3ca8,5,80,Set1,1,1.679,in
23729_2026-01-13_3ca8,5,80,Set1,2,1.68,in
23729_2026-01-13_3ca8,5,80,Set2,1,1.677,in
23729_2026-01-13_3ca8,5,80,Set2,2,1.678,in
23729_2026-01-13_3ca8,6,100,Set1,1,1.675,in
23729_2026-01-13_3ca8,6,100,Set1,2,1.676,in
23729_2026-01-13_3ca8,6,100,Set2,1,1.675,in
23729_2026-01-13_3ca8,6,100,Set2,2,1.675,in
23729_2026-01-13_3ca8,7,120,Set1,1,1.672,in
23729_2026-01-13_3ca8,7,120,Set1,2,1.672,in
23729_2026-01-13_3ca8,7,120,Set2,1,1.673,in
23729_2026-01-13_3ca8,7,120,Set2,2,1.672,in
23729_2026-01-13_3ca8,8,140,Set1,1,1.669,in
23729_2026-01-13_3ca8,8,140,Set1,2,1.669,in
23729_2026-01-13_3ca8,8,140,Set2,1,1.67,in
23729_2026-01-13_3ca8,8,140,Set2,2,1.67,in
