run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
25562_2026-02-18_9684,1,0,Set1,1,1.671,in
25562_2026-02-18_9684,1,0,Set1,2,1.671,in
25562_2026-02-18_9684,1,0,Set2,1,1.67,in
25562_2026-02-18_9684,1,0,Set2,2,1.668,in
25562_2026-02-18_9684,2,20,Set1,1,1.662,in
25562_2026-02-18_9684,2,20,Set1,2,1.662,in
25562_2026-02-18_9684,2,20,Set2,1,1.662,in
25562_2026-02-18_9684,2,20,Set2,2,1.661,in
25562_2026-02-18_9684,3,40,Set1,1,1.655,in
25562_2026-02-18_9684,3,40,Set1,2,1.655,in
25562_2026-02-18_9684,3,40,Set2,1,1.657,in
25562_2026-02-18_9684,3,40,Set2,2,1.658,in
25562_2026-02-18_9684,4,60,Set1,1,1.653,in
25562_2026-02-18_9684,4,60,Set1,2,1.653,in
25562_2026-02-18_9684,4,60,Set2,1,1.654,in
25562_2026-02-18_9684,4,60,Set2,2,1.654,in
25562_2026-02-18_9684,5,80,Set1,1,1.651,in
25562_2026-02-18_9684,5,80,Set1,2,1.652,in
25562_2026-02-18_9684,5,80,Set2,1,1.652,in
25562_2026-02-18_9684,5,80,Set2,2,1.653,in
25562_2026-02-18_9684,6,100,Set1,1,1.651,in
25562_2026-02-18_9684,6,100,Set1,2,1.652,in
25562_2026-02-18_9684,6,100,Set2,1,1.65,in
25562_2026-02-18_9684,6,100,Set2,2,1.651,in
25562_2026-02-18_9684,7,120,Set1,1,1.649,in
25562_2026-02-18_9684,7,120,Set1,2,1.65,in
25562_2026-02-18_9684,7,120,Set2,1,1.648,in
25562_2026-02-18_9684,7,120,Set2,2,1.649,in
25562_2026-02-18_9684,8,140,Set1,1,1.646,in
25562_2026-02-18_9684,8,140,Set1,2,1.647,in
25562_2026-02-18_9684,8,140,Set2,1,1.646,in
25562_2026-02-18_9684,8,140,Set2,2,1.647,in
