run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
25590_2025-11-20_7d27,1,0,Set1,1,1.645,in
25590_2025-11-20_7d27,1,0,Set1,2,1.644,in
25590_2025-11-20_7d27,1,0,Set2,1,1.647,in
25590_2025-11-20_7d27,1,0,Set2,2,1.646,in
25590_2025-11-20_7d27,2,20,Set1,1,1.644,in
25590_2025-11-20_7d27,2,20,Set1,2,1.643,in
25590_2025-11-20_7d27,2,20,Set2,1,1.641,in
25590_2025-11-20_7d27,2,20,Set2,2,1.64,in
25590_2025-11-20_7d27,3,40,Set1,1,1.637,in
25590_2025-11-20_7d27,3,40,Set1,2,1.637,in
25590_2025-11-20_7d27,3,40,Set2,1,1.635,in
25590_2025-11-20_7d27,3,40,Set2,2,1.635,in
25590_2025-11-20_7d27,4,60,Set1,1,1.635,in
25590_2025-11-20_7d27,4,60,Set1,2,1.635,in
25590_2025-11-20_7d27,4,60,Set2,1,1.631,in
25590_2025-11-20_7d27,4,60,Set2,2,1.631,in
25590_2025-11-20_7d27,5,80,Set1,1,1.632,in
25590_2025-11-20_7d27,5,80,Set1,2,1.631,in
25590_2025-11-20_7d27,5,80,Set2,1,1.629,in
25590_2025-11-20_7d27,5,80,Set2,2,1.629,in
25590_2025-11-20_7d27,6,100,Set1,1,1.629,in
25590_2025-11-20_7d27,6,100,Set1,2,1.628,in
25590_2025-11-20_7d27,6,100,Set2,1,1.627,in
25590_2025-11-20_7d27,6,100,Set2,2,1.627,in
25590_2025-11-20_7d27,7,120,Set1,1,1.626,in
25590_2025-11-20_7d27,7,120,Set1,2,1.626,in
25590_2025-11-20_7d27,7,120,Set2,1,1.624,in
25590_2025-11-20_7d27,7,120,Set2,2,1.624,in
25590_2025-11-20_7d27,8,140,Set1,1,1.624,in
25590_2025-11-20_7d27,8,140,Set1,2,1.624,in
25590_2025-11-20_7d27,8,140,Set2,1,1.622,in
25590_2025-11-20_7d27,8,140,Set2,2,1.622,in
