run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
26853_2026-07-09_3b5c,1,0,Set1,1,0.956,in
26853_2026-07-09_3b5c,1,0,Set1,2,0.959,in
26853_2026-07-09_3b5c,1,0,Set2,1,0.958,in
26853_2026-07-09_3b5c,1,0,Set2,2,0.957,in
26853_2026-07-09_3b5c,2,10,Set1,1,0.951,in
26853_2026-07-09_3b5c,2,10,Set1,2,0.954,in
26853_2026-07-09_3b5c,2,10,Set2,1,0.952,in
26853_2026-07-09_3b5c,2,10,Set2,2,0.951,in
26853_2026-07-09_3b5c,3,20,Set1,1,0.949,in
26853_2026-07-09_3b5c,3,20,Set1,2,0.951,in
26853_2026-07-09_3b5c,3,20,Set2,1,0.95,in
26853_2026-07-09_3b5c,3,20,Set2,2,0.949,in
26853_2026-07-09_3b5c,4,30,Set1,1,0.946,in
26853_2026-07-09_3b5c,4,30,Set1,2,0.948,in
26853_2026-07-09_3b5c,4,30,Set2,1,0.947,in
26853_2026-07-09_3b5c,4,30,Set2,2,0.947,in
26853_2026-07-09_3b5c,5,40,Set1,1,0.945,in
26853_2026-07-09_3b5c,5,40,Set1,2,0.944,in
26853_2026-07-09_3b5c,5,40,Set2,1,0.945,in
26853_2026-07-09_3b5c,5,40,Set2,2,0.945,in
26853_2026-07-09_3b5c,6,50,Set1,1,0.942,in
26853_2026-07-09_3b5c,6,50,Set1,2,0.942,in
26853_2026-07-09_3b5c,6,50,Set2,1,0.943,in
26853_2026-07-09_3b5c,6,50,Set2,2,0.942,in
26853_2026-07-09_3b5c,7,60,Set1,1,0.942,in
26853_2026-07-09_3b5c,7,60,Set1,2,0.942,in
26853_2026-07-09_3b5c,7,60,Set2,1,0.941,in
26853_2026-07-09_3b5c,7,60,Set2,2,0.941,in
