run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
27217_2026-06-11_ca0d,1,0,Set1,1,1.674,in
27217_2026-06-11_ca0d,1,0,Set1,2,1.677,in
27217_2026-06-11_ca0d,1,0,Set2,1,1.674,in
27217_2026-06-11_ca0d,1,0,Set2,2,1.677,in
27217_2026-06-11_ca0d,2,20,Set1,1,1.663,in
27217_2026-06-11_ca0d,2,20,Set1,2,1.661,in
27217_2026-06-11_ca0d,2,20,Set2,1,1.663,in
27217_2026-06-11_ca0d,2,20,Set2,2,1.661,in
27217_2026-06-11_ca0d,3,40,Set1,1,1.658,in
27217_2026-06-11_ca0d,3,40,Set1,2,1.656,in
27217_2026-06-11_ca0d,3,40,Set2,1,1.658,in
27217_2026-06-11_ca0d,3,40,Set2,2,1.656,in
27217_2026-06-11_ca0d,4,60,Set1,1,1.654,in
27217_2026-06-11_ca0d,4,60,Set1,2,1.654,in
27217_2026-06-11_ca0d,4,60,Set2,1,1.654,in
27217_2026-06-11_ca0d,4,60,Set2,2,1.654,in
27217_2026-06-11_ca0d,5,80,Set1,1,1.65,in
27217_2026-06-11_ca0d,5,80,Set1,2,1.649,in
27217_2026-06-11_ca0d,5,80,Set2,1,1.65,in
27217_2026-06-11_ca0d,5,80,Set2,2,1.649,in
27217_2026-06-11_ca0d,6,100,Set1,1,1.646,in
27217_2026-06-11_ca0d,6,100,Set1,2,1.645,in
27217_2026-06-11_ca0d,6,100,Set2,1,1.646,in
27217_2026-06-11_ca0d,6,100,Set2,2,1.645,in
27217_2026-06-11_ca0d,7,120,Set1,1,1.642,in
27217_2026-06-11_ca0d,7,120,Set1,2,1.642,in
27217_2026-06-11_ca0d,7,120,Set2,1,1.642,in
27217_2026-06-11_ca0d,7,120,Set2,2,1.642,in
27217_2026-06-11_ca0d,8,140,Set1,1,1.64,in
27217_2026-06-11_ca0d,8,140,Set1,2,1.64,in
27217_2026-06-11_ca0d,8,140,Set2,1,1.64,in
27217_2026-06-11_ca0d,8,140,Set2,2,1.64,in
27217_2026-06-11_ca0d,9,160,Set1,1,1.638,in
27217_2026-06-11_ca0d,9,160,Set1,2,1.638,in
27217_2026-06-11_ca0d,9,160,Set2,1,1.638,in
27217_2026-06-11_ca0d,9,160,Set2,2,1.638,in
