run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
43109_2026-04-24_ddba,1,0,Set1,1,38.75,mm
43109_2026-04-24_ddba,1,0,Set1,2,38.72,mm
43109_2026-04-24_ddba,1,0,Set2,1,38.75,mm
43109_2026-04-24_ddba,1,0,Set2,2,38.72,mm
43109_2026-04-24_ddba,2,20,Set1,1,38.62,mm
43109_2026-04-24_ddba,2,20,Set1,2,38.6,mm
43109_2026-04-24_ddba,2,20,Set2,1,38.62,mm
43109_2026-04-24_ddba,2,20,Set2,2,38.6,mm
43109_2026-04-24_ddba,3,40,Set1,1,38.45,mm
43109_2026-04-24_ddba,3,40,Set1,2,38.46,mm
43109_2026-04-24_ddba,3,40,Set2,1,38.45,mm
43109_2026-04-24_ddba,3,40,Set2,2,38.46,mm
43109_2026-04-24_ddba,4,60,Set1,1,38.39,mm
43109_2026-04-24_ddba,4,60,Set1,2,38.38,mm
43109_2026-04-24_ddba,4,60,Set2,1,38.39,mm
43109_2026-04-24_ddba,4,60,Set2,2,38.38,mm
43109_2026-04-24_ddba,5,80,Set1,1,38.34,mm
43109_2026-04-24_ddba,5,80,Set1,2,38.32,mm
43109_2026-04-24_ddba,5,80,Set2,1,38.34,mm
43109_2026-04-24_ddba,5,80,Set2,2,38.32,mm
43109_2026-04-24_ddba,6,100,Set1,1,38.34,mm
43109_2026-04-24_ddba,6,100,Set1,2,38.32,mm
43109_2026-04-24_ddba,6,100,Set2,1,38.34,mm
43109_2026-04-24_ddba,6,100,Set2,2,38.32,mm
43109_2026-04-24_ddba,7,120,Set1,1,38.27,mm
43109_2026-04-24_ddba,7,120,Set1,2,38.28,mm
43109_2026-04-24_ddba,7,120,Set2,1,38.27,mm
43109_2026-04-24_ddba,7,120,Set2,2,38.28,mm
43109_2026-04-24_ddba,8,140,Set1,1,38.23,mm
43109_2026-04-24_ddba,8,140,Set1,2,38.21,mm
43109_2026-04-24_ddba,8,140,Set2,1,38.23,mm
43109_2026-04-24_ddba,8,140,Set2,2,38.21,mm
