run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L52984_2024-08-30_1cc4,1,0,Set1,1,1.978,in
L52984_2024-08-30_1cc4,1,0,Set1,2,1.976,in
L52984_2024-08-30_1cc4,1,0,Set2,1,1.969,in
L52984_2024-08-30_1cc4,1,0,Set2,2,1.964,in
L52984_2024-08-30_1cc4,2,30,Set1,1,1.95,in
L52984_2024-08-30_1cc4,2,30,Set1,2,1.948,in
L52984_2024-08-30_1cc4,2,30,Set2,1,1.95,in
L52984_2024-08-30_1cc4,2,30,Set2,2,1.947,in
L52984_2024-08-30_1cc4,3,60,Set1,1,1.941,in
L52984_2024-08-30_1cc4,3,60,Set1,2,1.939,in
L52984_2024-08-30_1cc4,3,60,Set2,1,1.942,in
L52984_2024-08-30_1cc4,3,60,Set2,2,1.939,in
L52984_2024-08-30_1cc4,4,90,Set1,1,1.934,in
L52984_2024-08-30_1cc4,4,90,Set1,2,1.932,in
L52984_2024-08-30_1cc4,4,90,Set2,1,1.933,in
L52984_2024-08-30_1cc4,4,90,Set2,2,1.931,in
L52984_2024-08-30_1cc4,5,120,Set1,1,1.93,in
L52984_2024-08-30_1cc4,5,120,Set1,2,1.927,in
L52984_2024-08-30_1cc4,5,120,Set2,1,1.928,in
L52984_2024-08-30_1cc4,5,120,Set2,2,1.927,in
L52984_2024-08-30_1cc4,6,150,Set1,1,1.925,in
L52984_2024-08-30_1cc4,6,150,Set1,2,1.921,in
L52984_2024-08-30_1cc4,6,150,Set2,1,1.925,in
L52984_2024-08-30_1cc4,6,150,Set2,2,1.923,in
L52984_2024-08-30_1cc4,7,180,Set1,1,1.92,in
L52984_2024-08-30_1cc4,7,180,Set1,2,1.918,in
L52984_2024-08-30_1cc4,7,180,Set2,1,1.921,in
L52984_2024-08-30_1cc4,7,180,Set2,2,1.918,in
