run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53565_2025-11-14_3dba,1,0,Set1,1,1.542,in
L53565_2025-11-14_3dba,1,0,Set1,2,1.535,in
L53565_2025-11-14_3dba,1,0,Set2,1,1.538,in
L53565_2025-11-14_3dba,1,0,Set2,2,1.531,in
L53565_2025-11-14_3dba,2,20,Set1,1,1.523,in
L53565_2025-11-14_3dba,2,20,Set1,2,1.524,in
L53565_2025-11-14_3dba,2,20,Set2,1,1.526,in
L53565_2025-11-14_3dba,2,20,Set2,2,1.522,in
L53565_2025-11-14_3dba,3,40,Set1,1,1.52,in
L53565_2025-11-14_3dba,3,40,Set1,2,1.519,in
L53565_2025-11-14_3dba,3,40,Set2,1,1.52,in
L53565_2025-11-14_3dba,3,40,Set2,2,1.517,in
L53565_2025-11-14_3dba,4,60,Set1,1,1.514,in
L53565_2025-11-14_3dba,4,60,Set1,2,1.512,in
L53565_2025-11-14_3dba,4,60,Set2,1,1.514,in
L53565_2025-11-14_3dba,4,60,Set2,2,1.512,in
L53565_2025-11-14_3dba,5,80,Set1,1,1.512,in
L53565_2025-11-14_3dba,5,80,Set1,2,1.51,in
L53565_2025-11-14_3dba,5,80,Set2,1,1.512,in
L53565_2025-11-14_3dba,5,80,Set2,2,1.51,in
L53565_2025-11-14_3dba,6,100,Set1,1,1.509,in
L53565_2025-11-14_3dba,6,100,Set1,2,1.508,in
L53565_2025-11-14_3dba,6,100,Set2,1,1.509,in
L53565_2025-11-14_3dba,6,100,Set2,2,1.508,in
L53565_2025-11-14_3dba,7,120,Set1,1,1.507,in
L53565_2025-11-14_3dba,7,120,Set1,2,1.505,in
L53565_2025-11-14_3dba,7,120,Set2,1,1.508,in
L53565_2025-11-14_3dba,7,120,Set2,2,1.506,in
L53565_2025-11-14_3dba,8,140,Set1,1,1.506,in
L53565_2025-11-14_3dba,8,140,Set1,2,1.504,in
L53565_2025-11-14_3dba,8,140,Set2,1,1.506,in
L53565_2025-11-14_3dba,8,140,Set2,2,1.504,in
