run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53569_2025-12-01_d8a4,1,0,Set1,1,1.524,in
L53569_2025-12-01_d8a4,1,0,Set1,2,1.527,in
L53569_2025-12-01_d8a4,1,0,Set2,1,1.524,in
L53569_2025-12-01_d8a4,1,0,Set2,2,1.526,in
L53569_2025-12-01_d8a4,2,20,Set1,1,1.518,in
L53569_2025-12-01_d8a4,2,20,Set1,2,1.517,in
L53569_2025-12-01_d8a4,2,20,Set2,1,1.517,in
L53569_2025-12-01_d8a4,2,20,Set2,2,1.516,in
L53569_2025-12-01_d8a4,3,40,Set1,1,1.511,in
L53569_2025-12-01_d8a4,3,40,Set1,2,1.512,in
L53569_2025-12-01_d8a4,3,40,Set2,1,1.511,in
L53569_2025-12-01_d8a4,3,40,Set2,2,1.512,in
L53569_2025-12-01_d8a4,4,60,Set1,1,1.507,in
L53569_2025-12-01_d8a4,4,60,Set1,2,1.509,in
L53569_2025-12-01_d8a4,4,60,Set2,1,1.507,in
L53569_2025-12-01_d8a4,4,60,Set2,2,1.509,in
L53569_2025-12-01_d8a4,5,80,Set1,1,1.505,in
L53569_2025-12-01_d8a4,5,80,Set1,2,1.506,in
L53569_2025-12-01_d8a4,5,80,Set2,1,1.505,in
L53569_2025-12-01_d8a4,5,80,Set2,2,1.505,in
L53569_2025-12-01_d8a4,6,100,Set1,1,1.503,in
L53569_2025-12-01_d8a4,6,100,Set1,2,1.504,in
L53569_2025-12-01_d8a4,6,100,Set2,1,1.503,in
L53569_2025-12-01_d8a4,6,100,Set2,2,1.503,in
L53569_2025-12-01_d8a4,7,120,Set1,1,1.502,in
L53569_2025-12-01_d8a4,7,120,Set1,2,1.502,in
L53569_2025-12-01_d8a4,7,120,Set2,1,1.502,in
L53569_2025-12-01_d8a4,7,120,Set2,2,1.501,in
L53569_2025-12-01_d8a4,8,140,Set1,1,1.5,in
L53569_2025-12-01_d8a4,8,140,Set1,2,1.501,in
L53569_2025-12-01_d8a4,8,140,Set2,1,1.5,in
L53569_2025-12-01_d8a4,8,140,Set2,2,1.5,in
