run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53604_2025-12-01_a413,1,0,Set1,1,1.52,in
L53604_2025-12-01_a413,1,0,Set1,2,1.521,in
L53604_2025-12-01_a413,1,0,Set2,1,1.518,in
L53604_2025-12-01_a413,1,0,Set2,2,1.52,in
L53604_2025-12-01_a413,2,20,Set1,1,1.513,in
L53604_2025-12-01_a413,2,20,Set1,2,1.512,in
L53604_2025-12-01_a413,2,20,Set2,1,1.513,in
L53604_2025-12-01_a413,2,20,Set2,2,1.513,in
L53604_2025-12-01_a413,3,40,Set1,1,1.508,in
L53604_2025-12-01_a413,3,40,Set1,2,1.509,in
L53604_2025-12-01_a413,3,40,Set2,1,1.509,in
L53604_2025-12-01_a413,3,40,Set2,2,1.51,in
L53604_2025-12-01_a413,4,60,Set1,1,1.505,in
L53604_2025-12-01_a413,4,60,Set1,2,1.506,in
L53604_2025-12-01_a413,4,60,Set2,1,1.505,in
L53604_2025-12-01_a413,4,60,Set2,2,1.507,in
L53604_2025-12-01_a413,5,80,Set1,1,1.503,in
L53604_2025-12-01_a413,5,80,Set1,2,1.503,in
L53604_2025-12-01_a413,5,80,Set2,1,1.503,in
L53604_2025-12-01_a413,5,80,Set2,2,1.504,in
L53604_2025-12-01_a413,6,100,Set1,1,1.502,in
L53604_2025-12-01_a413,6,100,Set1,2,1.502,in
L53604_2025-12-01_a413,6,100,Set2,1,1.502,in
L53604_2025-12-01_a413,6,100,Set2,2,1.502,in
L53604_2025-12-01_a413,7,120,Set1,1,1.5,in
L53604_2025-12-01_a413,7,120,Set1,2,1.5,in
L53604_2025-12-01_a413,7,120,Set2,1,1.5,in
L53604_2025-12-01_a413,7,120,Set2,2,1.5,in
L53604_2025-12-01_a413,8,140,Set1,1,1.499,in
L53604_2025-12-01_a413,8,140,Set1,2,1.498,in
L53604_2025-12-01_a413,8,140,Set2,1,1.499,in
L53604_2025-12-01_a413,8,140,Set2,2,1.498,in
