run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53625_2025-11-17_d4ef,1,0,Set1,1,1.488,in
L53625_2025-11-17_d4ef,1,0,Set1,2,1.488,in
L53625_2025-11-17_d4ef,1,0,Set2,1,1.489,in
L53625_2025-11-17_d4ef,1,0,Set2,2,1.487,in
L53625_2025-11-17_d4ef,2,20,Set1,1,1.481,in
L53625_2025-11-17_d4ef,2,20,Set1,2,1.483,in
L53625_2025-11-17_d4ef,2,20,Set2,1,1.481,in
L53625_2025-11-17_d4ef,2,20,Set2,2,1.482,in
L53625_2025-11-17_d4ef,3,40,Set1,1,1.476,in
L53625_2025-11-17_d4ef,3,40,Set1,2,1.481,in
L53625_2025-11-17_d4ef,3,40,Set2,1,1.478,in
L53625_2025-11-17_d4ef,3,40,Set2,2,1.478,in
L53625_2025-11-17_d4ef,4,60,Set1,1,1.474,in
L53625_2025-11-17_d4ef,4,60,Set1,2,1.477,in
L53625_2025-11-17_d4ef,4,60,Set2,1,1.474,in
L53625_2025-11-17_d4ef,4,60,Set2,2,1.476,in
L53625_2025-11-17_d4ef,5,80,Set1,1,1.472,in
L53625_2025-11-17_d4ef,5,80,Set1,2,1.474,in
L53625_2025-11-17_d4ef,5,80,Set2,1,1.473,in
L53625_2025-11-17_d4ef,5,80,Set2,2,1.474,in
L53625_2025-11-17_d4ef,6,100,Set1,1,1.47,in
L53625_2025-11-17_d4ef,6,100,Set1,2,1.474,in
L53625_2025-11-17_d4ef,6,100,Set2,1,1.471,in
L53625_2025-11-17_d4ef,6,100,Set2,2,1.472,in
L53625_2025-11-17_d4ef,7,120,Set1,1,1.469,in
L53625_2025-11-17_d4ef,7,120,Set1,2,1.472,in
L53625_2025-11-17_d4ef,7,120,Set2,1,1.47,in
L53625_2025-11-17_d4ef,7,120,Set2,2,1.471,in
L53625_2025-11-17_d4ef,8,140,Set1,1,1.467,in
L53625_2025-11-17_d4ef,8,140,Set1,2,1.471,in
L53625_2025-11-17_d4ef,8,140,Set2,1,1.468,in
L53625_2025-11-17_d4ef,8,140,Set2,2,1.47,in
